Geneid	baseMean	test	log2FoldChange	pvalue	padj	is.de	seqnames	start	end	strand	type	name	locus_tag	old_locus_tag	product	length
gene-SYNPCC7002_RS00060	447.2888708631375	Other->30% CO2	0.14325016117178674	0.2780804368559156	0.3507223002907487	FALSE	NC_010475.1	7044	7613	+	protein-coding	SYNPCC7002_RS00060	SYNPCC7002_RS00060	SYNPCC7002_A0011	Uma2 family endonuclease	570
gene-SYNPCC7002_RS16035	843.3698165631033	Other->30% CO2	0.01429489271728614	0.8976103613020268	0.9230440837330616	FALSE	NC_010475.1	7646	8308	+	protein-coding	SYNPCC7002_RS16035	SYNPCC7002_RS16035	SYNPCC7002_A0012	NUDIX hydrolase	663
gene-SYNPCC7002_RS00070	1925.6909807793738	Other->30% CO2	-0.1663559096004457	0.11626963779333446	0.16565987210960315	FALSE	NC_010475.1	8305	9621	+	protein-coding	SYNPCC7002_RS00070	SYNPCC7002_RS00070	SYNPCC7002_A0013	hypothetical protein	1317
gene-SYNPCC7002_RS00075	1596.2832499632334	Other->30% CO2	-0.026963378369684876	0.6699220969899995	0.7325146828969866	FALSE	NC_010475.1	9729	10484	+	protein-coding	SYNPCC7002_RS00075	SYNPCC7002_RS00075	SYNPCC7002_A0014	DUF1995 family protein	756
gene-SYNPCC7002_RS00080	407.99400529195236	Other->30% CO2	0.48484883457426436	1.7486283987015822e-8	7.204170571181264e-8	TRUE	NC_010475.1	10504	11418	+	protein-coding	SYNPCC7002_RS00080	SYNPCC7002_RS00080	SYNPCC7002_A0015	TIGR04168 family protein	915
gene-SYNPCC7002_RS00085	175.31922584549488	Other->30% CO2	-0.3700795205453348	0.001063572094640897	0.0023497523021136094	TRUE	NC_010475.1	11402	11782	-	protein-coding	SYNPCC7002_RS00085	SYNPCC7002_RS00085	SYNPCC7002_A0016	VOC family protein	381
gene-SYNPCC7002_RS00090	238.20542777382695	Other->30% CO2	-0.6230299900225956	7.057946073780014e-11	3.641719779282659e-10	TRUE	NC_010475.1	11850	12152	-	protein-coding	SYNPCC7002_RS00090	SYNPCC7002_RS00090	SYNPCC7002_A0017	hypothetical protein	303
gene-SYNPCC7002_RS00095	537.2261695377847	Other->30% CO2	-0.3565468459685737	3.2416462246036084e-6	1.049150030608182e-5	TRUE	NC_010475.1	12398	12628	+	protein-coding	SYNPCC7002_RS00095	SYNPCC7002_RS00095	SYNPCC7002_A0018	hypothetical protein	231
gene-SYNPCC7002_RS00100	730.0523007980283	Other->30% CO2	0.03833187759356961	0.6103636855931196	0.6788824739895923	FALSE	NC_010475.1	12655	14193	+	protein-coding	SYNPCC7002_RS00100	SYNPCC7002_RS00100	SYNPCC7002_A0019	AAA family ATPase	1539
gene-SYNPCC7002_RS00105	279.7611663615191	Other->30% CO2	0.22484781241255836	0.006596687626188139	0.012604391690391433	TRUE	NC_010475.1	14203	14742	+	protein-coding	rsmD	SYNPCC7002_RS00105	SYNPCC7002_A0020	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	540
gene-SYNPCC7002_RS00110	1859.0320410698916	Other->30% CO2	0.8220556769969003	2.6106258564360662e-62	8.970554804562229e-61	TRUE	NC_010475.1	14914	15801	-	protein-coding	SYNPCC7002_RS00110	SYNPCC7002_RS00110	SYNPCC7002_A0021	alpha/beta fold hydrolase	888
gene-SYNPCC7002_RS00115	515.2318109576963	Other->30% CO2	0.012442493876095168	0.8726746499024263	0.9022852494189619	FALSE	NC_010475.1	15864	20024	-	protein-coding	SYNPCC7002_RS00115	SYNPCC7002_RS00115	SYNPCC7002_A0022	WD repeat-containing protein	4161
gene-SYNPCC7002_RS00120	1356.4023756169515	Other->30% CO2	-0.04265887045503101	0.6746825427817105	0.7364733400422186	FALSE	NC_010475.1	20106	20954	+	protein-coding	SYNPCC7002_RS00120	SYNPCC7002_RS00120	SYNPCC7002_A0023	FtsQ-type POTRA domain-containing protein	849
gene-SYNPCC7002_RS00130	1045.6949451404435	Other->30% CO2	0.4523389305104198	4.979493919642665e-7	1.7752500397843056e-6	TRUE	NC_010475.1	22367	23170	+	protein-coding	thiD	SYNPCC7002_RS00130	SYNPCC7002_A0025	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	804
gene-SYNPCC7002_RS00135	645.275827404293	Other->30% CO2	0.31831406700509385	9.524231367789556e-5	2.5529682421543783e-4	TRUE	NC_010475.1	23167	24519	-	protein-coding	SYNPCC7002_RS00135	SYNPCC7002_RS00135	SYNPCC7002_A0026	GTP-binding protein	1353
gene-SYNPCC7002_RS00140	195.27860480941993	Other->30% CO2	-0.26935222838135653	0.04534505855968	0.07186680036691187	FALSE	NC_010475.1	24806	25246	+	protein-coding	SYNPCC7002_RS00140	SYNPCC7002_RS00140	SYNPCC7002_A0027	hypothetical protein	441
gene-SYNPCC7002_RS00145	449.82600364331137	Other->30% CO2	0.058338458128382675	0.4542737349471834	0.5316319434345661	FALSE	NC_010475.1	25340	26419	+	protein-coding	SYNPCC7002_RS00145	SYNPCC7002_RS00145	SYNPCC7002_A0028	hypothetical protein	1080
gene-SYNPCC7002_RS00150	500.9497675076995	Other->30% CO2	-0.19517075173920412	0.0023357576998209837	0.004876856735889966	TRUE	NC_010475.1	26445	27062	-	protein-coding	SYNPCC7002_RS00150	SYNPCC7002_RS00150	SYNPCC7002_A0029	LysE family translocator	618
gene-SYNPCC7002_RS00155	394.59468991196474	Other->30% CO2	0.18529494466955118	0.08759449587848704	0.12907400624430343	FALSE	NC_010475.1	27194	28225	+	protein-coding	csaB	SYNPCC7002_RS00155	SYNPCC7002_A0030	polysaccharide pyruvyl transferase CsaB	1032
gene-SYNPCC7002_RS00160	8141.627439059148	Other->30% CO2	0.019187210313135892	0.8200015116326085	0.8604954134416262	FALSE	NC_010475.1	28366	28854	+	protein-coding	SYNPCC7002_RS00160	SYNPCC7002_RS00160	SYNPCC7002_A0031	DNA starvation/stationary phase protection protein	489
gene-SYNPCC7002_RS16250	2175807.1597056454	Other->30% CO2	-0.030633975176005798	0.7261385838006542	0.7800334647495796	FALSE	NC_010475.1	28953	29348	+	tmRNA	ssrA	SYNPCC7002_RS16250	SYNPCC7002_A0032	transfer-messenger RNA	396
gene-SYNPCC7002_RS00165	2413.447670558914	Other->30% CO2	-0.1177058310877835	0.028914504496928027	0.04796807885211994	TRUE	NC_010475.1	29424	30743	-	protein-coding	SYNPCC7002_RS00165	SYNPCC7002_RS00165	SYNPCC7002_A0033	hemolysin family protein	1320
gene-SYNPCC7002_RS00170	1470.3420852380484	Other->30% CO2	0.3388633963371596	2.3283422265024302e-5	6.836859446911682e-5	TRUE	NC_010475.1	30885	31730	-	protein-coding	SYNPCC7002_RS00170	SYNPCC7002_RS00170	SYNPCC7002_A0034	3'(2'),5'-bisphosphate nucleotidase CysQ	846
gene-SYNPCC7002_RS00175	4513.364550057026	Other->30% CO2	0.3380411454517492	1.9502545305017608e-7	7.265654133241854e-7	TRUE	NC_010475.1	31804	33420	-	protein-coding	lysS	SYNPCC7002_RS00175	SYNPCC7002_A0035	lysine--tRNA ligase	1617
gene-SYNPCC7002_RS00180	299.52116357865145	Other->30% CO2	-0.08144441228329886	0.4235784177961732	0.500240690852519	FALSE	NC_010475.1	33504	34478	-	protein-coding	SYNPCC7002_RS00180	SYNPCC7002_RS00180	SYNPCC7002_A0036	hypothetical protein	975
gene-SYNPCC7002_RS00185	3256.0410292274105	Other->30% CO2	0.8065224861174236	1.4379651672319101e-21	1.4203753792535382e-20	TRUE	NC_010475.1	34718	35728	+	protein-coding	trpS	SYNPCC7002_RS00185	SYNPCC7002_A0037	tryptophan--tRNA ligase	1011
gene-SYNPCC7002_RS00190	1303.4773460407837	Other->30% CO2	0.6972638954239035	1.2893079804369757e-17	1.0411161942028578e-16	TRUE	NC_010475.1	35772	36683	+	protein-coding	SYNPCC7002_RS00190	SYNPCC7002_RS00190	SYNPCC7002_A0038	methylenetetrahydrofolate reductase	912
gene-SYNPCC7002_RS00195	642.3919223156306	Other->30% CO2	0.6748922884889811	7.400964810085419e-13	4.4766135461752625e-12	TRUE	NC_010475.1	36701	37603	+	protein-coding	SYNPCC7002_RS00195	SYNPCC7002_RS00195	SYNPCC7002_A0039	PhzF family phenazine biosynthesis protein	903
gene-SYNPCC7002_RS00200	109.6283535698516	Other->30% CO2	0.5962960687501792	7.270870138594913e-5	1.9919347368669692e-4	TRUE	NC_010475.1	37587	38036	+	protein-coding	SYNPCC7002_RS00200	SYNPCC7002_RS00200	NA	PhzF family phenazine biosynthesis isomerase	450
gene-SYNPCC7002_RS00205	38612.06972056934	Other->30% CO2	0.15210332723604755	0.01348861932675286	0.024057559594374233	TRUE	NC_010475.1	38116	39978	-	protein-coding	ftsH3	SYNPCC7002_RS00205	SYNPCC7002_A0040	ATP-dependent zinc metalloprotease FtsH3	1863
gene-SYNPCC7002_RS00210	3670.0947526073383	Other->30% CO2	-0.017339444265359	0.8137935220279342	0.855370346941174	FALSE	NC_010475.1	40120	45915	-	protein-coding	SYNPCC7002_RS00210	SYNPCC7002_RS00210	SYNPCC7002_A0041	translocation/assembly module TamB domain-containing protein	5796
gene-SYNPCC7002_RS00215	4427.84184017331	Other->30% CO2	1.6665622844029577	2.1075037395003266e-94	1.3090840535742412e-92	TRUE	NC_010475.1	46222	46563	-	protein-coding	SYNPCC7002_RS00215	SYNPCC7002_RS00215	SYNPCC7002_A0042	hypothetical protein	342
gene-SYNPCC7002_RS00220	1374.684023762151	Other->30% CO2	0.27792305964116315	1.4500023124500089e-5	4.332569351723893e-5	TRUE	NC_010475.1	46832	48373	+	protein-coding	SYNPCC7002_RS00220	SYNPCC7002_RS00220	SYNPCC7002_A0043	FAD-binding oxidoreductase	1542
gene-SYNPCC7002_RS00225	369.1338767276898	Other->30% CO2	0.22002547958893567	0.08539060122288003	0.126071993006825	FALSE	NC_010475.1	48397	49074	-	protein-coding	SYNPCC7002_RS00225	SYNPCC7002_RS00225	SYNPCC7002_A0044	hypothetical protein	678
gene-SYNPCC7002_RS00230	4510.449048517544	Other->30% CO2	-0.5768887951949031	3.488333705126775e-12	2.0084345574972343e-11	TRUE	NC_010475.1	49554	50762	+	protein-coding	SYNPCC7002_RS00230	SYNPCC7002_RS00230	SYNPCC7002_A0045	response regulator	1209
gene-SYNPCC7002_RS00235	1040.2787373856859	Other->30% CO2	-0.4166481529048223	3.171442603643817e-5	9.162575679579185e-5	TRUE	NC_010475.1	50845	51207	+	protein-coding	SYNPCC7002_RS00235	SYNPCC7002_RS00235	SYNPCC7002_A0046	response regulator	363
gene-SYNPCC7002_RS00240	1288.8973948975076	Other->30% CO2	-0.4053341932447642	2.8564706406673988e-6	9.329019382563901e-6	TRUE	NC_010475.1	51282	51773	+	protein-coding	SYNPCC7002_RS00240	SYNPCC7002_RS00240	SYNPCC7002_A0047	chemotaxis protein CheW	492
gene-SYNPCC7002_RS00245	12878.779652865771	Other->30% CO2	-0.39309857994650665	6.215237867312968e-7	2.1934066413320016e-6	TRUE	NC_010475.1	51869	56263	+	protein-coding	SYNPCC7002_RS00245	SYNPCC7002_RS00245	SYNPCC7002_A0048	GAF domain-containing protein	4395
gene-SYNPCC7002_RS00250	3329.8949933301583	Other->30% CO2	-0.6735902307857056	2.951595483542205e-14	1.9657017344002727e-13	TRUE	NC_010475.1	56378	59512	+	protein-coding	SYNPCC7002_RS00250	SYNPCC7002_RS00250	SYNPCC7002_A0049	hybrid sensor histidine kinase/response regulator	3135
gene-SYNPCC7002_RS00255	3448.090745271849	Other->30% CO2	0.8198232990227416	2.4566344095533624e-38	4.289150888031006e-37	TRUE	NC_010475.1	59525	60178	-	protein-coding	SYNPCC7002_RS00255	SYNPCC7002_RS00255	SYNPCC7002_A0050	DUF3318 domain-containing protein	654
gene-SYNPCC7002_RS00260	2561.692884043093	Other->30% CO2	0.3427978345745151	6.027529957717794e-13	3.666463608931916e-12	TRUE	NC_010475.1	60296	60643	-	protein-coding	SYNPCC7002_RS00260	SYNPCC7002_RS00260	SYNPCC7002_A0051	metalloregulator ArsR/SmtB family transcription factor	348
gene-SYNPCC7002_RS00265	3311.8509985803025	Other->30% CO2	0.27878351795601225	2.5831797275344672e-5	7.557672572406095e-5	TRUE	NC_010475.1	60707	61204	-	protein-coding	accB	SYNPCC7002_RS00265	SYNPCC7002_A0052	acetyl-CoA carboxylase biotin carboxyl carrier protein	498
gene-SYNPCC7002_RS00270	6363.1133984937605	Other->30% CO2	0.18838308508217652	0.013439599543011948	0.023996631577627745	TRUE	NC_010475.1	61290	61847	-	protein-coding	efp	SYNPCC7002_RS00270	SYNPCC7002_A0053	elongation factor P	558
gene-SYNPCC7002_RS00275	145.8229451308063	Other->30% CO2	0.2397228150324039	0.07680019429945337	0.1150044634155004	FALSE	NC_010475.1	61952	62608	-	protein-coding	SYNPCC7002_RS00275	SYNPCC7002_RS00275	SYNPCC7002_A0054	ComF family protein	657
gene-SYNPCC7002_RS00280	423.0814658897402	Other->30% CO2	-0.21216249170711762	0.024827304139276096	0.041679933664169326	TRUE	NC_010475.1	62605	63024	-	protein-coding	SYNPCC7002_RS00280	SYNPCC7002_RS00280	SYNPCC7002_A0055	type II toxin-antitoxin system VapC family toxin	420
gene-SYNPCC7002_RS00285	376.67982766978804	Other->30% CO2	-0.2478333144401081	0.007685475275532007	0.01451700885378268	TRUE	NC_010475.1	63031	63270	-	protein-coding	SYNPCC7002_RS00285	SYNPCC7002_RS00285	SYNPCC7002_A0056	Arc family DNA-binding protein	240
gene-SYNPCC7002_RS00290	10444.35389955977	Other->30% CO2	-0.5996230401333394	8.799206234298973e-13	5.2827948209638816e-12	TRUE	NC_010475.1	63367	64266	-	protein-coding	SYNPCC7002_RS00290	SYNPCC7002_RS00290	SYNPCC7002_A0057	hypothetical protein	900
gene-SYNPCC7002_RS00295	3995.9553194997393	Other->30% CO2	-0.004379810136541839	0.943979412343672	0.9588218559339814	FALSE	NC_010475.1	64484	65443	-	protein-coding	accD	SYNPCC7002_RS00295	SYNPCC7002_A0058	acetyl-CoA carboxylase, carboxyltransferase subunit beta	960
gene-SYNPCC7002_RS00300	1344.6495753218414	Other->30% CO2	-0.11757570331407032	0.18086763931212566	0.24375432144085163	FALSE	NC_010475.1	65470	65679	-	protein-coding	SYNPCC7002_RS00300	SYNPCC7002_RS00300	SYNPCC7002_A0059	hypothetical protein	210
gene-SYNPCC7002_RS00305	507.31833023644566	Other->30% CO2	0.6541027767099757	1.4876246479423586e-6	5.015686443479977e-6	TRUE	NC_010475.1	65831	66229	+	protein-coding	mutT	SYNPCC7002_RS00305	SYNPCC7002_A0060	8-oxo-dGTP diphosphatase MutT	399
gene-SYNPCC7002_RS00310	719.8583392323302	Other->30% CO2	0.18031001233358798	0.020491568732369972	0.03492758153327441	TRUE	NC_010475.1	66337	67056	-	protein-coding	rnc	SYNPCC7002_RS00310	SYNPCC7002_A0061	ribonuclease III	720
gene-SYNPCC7002_RS00315	1017.5684495253021	Other->30% CO2	0.16794753865416776	0.020190903867663812	0.03456100662032544	TRUE	NC_010475.1	67152	67652	+	protein-coding	SYNPCC7002_RS00315	SYNPCC7002_RS00315	SYNPCC7002_A0062	hypothetical protein	501
gene-SYNPCC7002_RS00320	3063.7586421450665	Other->30% CO2	0.1525600007051768	0.007725076626646326	0.014574764897235767	TRUE	NC_010475.1	67696	70698	+	protein-coding	SYNPCC7002_RS00320	SYNPCC7002_RS00320	SYNPCC7002_A0063	UPF0182 family protein	3003
gene-SYNPCC7002_RS00325	1298.704268575511	Other->30% CO2	-0.8746515846235912	9.632408190103796e-30	1.2803571380261424e-28	TRUE	NC_010475.1	70804	72312	+	protein-coding	SYNPCC7002_RS00325	SYNPCC7002_RS00325	SYNPCC7002_A0064	bifunctional metallophosphatase/5'-nucleotidase	1509
gene-SYNPCC7002_RS00330	356.2506718437547	Other->30% CO2	0.09927253105648963	0.23246646972355592	0.3001065936079479	FALSE	NC_010475.1	72394	72648	-	protein-coding	SYNPCC7002_RS00330	SYNPCC7002_RS00330	SYNPCC7002_A0065	chlororespiratory reduction protein 7	255
gene-SYNPCC7002_RS00335	1639.1021739161788	Other->30% CO2	-0.02401992699237619	0.7052315264810465	0.7633705866400068	FALSE	NC_010475.1	72686	74116	+	protein-coding	SYNPCC7002_RS00335	SYNPCC7002_RS00335	SYNPCC7002_A0066	YdiU family protein	1431
gene-SYNPCC7002_RS00340	339.9379787151641	Other->30% CO2	-0.04490175085688633	0.614564873491064	0.6830848387392073	FALSE	NC_010475.1	74161	74340	+	protein-coding	SYNPCC7002_RS00340	SYNPCC7002_RS00340	SYNPCC7002_A0067	PCP reductase family protein	180
gene-SYNPCC7002_RS00345	438.676005251153	Other->30% CO2	0.31489674164953924	0.0012097285435118234	0.0026455133348295126	TRUE	NC_010475.1	74343	75515	-	protein-coding	lpxB	SYNPCC7002_RS00345	SYNPCC7002_A0068	lipid-A-disaccharide synthase	1173
gene-SYNPCC7002_RS00350	833.7550005798729	Other->30% CO2	0.5684408372156499	2.2007984699004562e-8	8.954896155226391e-8	TRUE	NC_010475.1	75522	76319	-	protein-coding	lpxA	SYNPCC7002_RS00350	SYNPCC7002_A0069	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase	798
gene-SYNPCC7002_RS00355	1430.9705551612226	Other->30% CO2	0.3162481910969326	3.566605289469787e-4	8.609966431231249e-4	TRUE	NC_010475.1	76369	76836	-	protein-coding	fabZ	SYNPCC7002_RS00355	SYNPCC7002_A0070	3-hydroxyacyl-ACP dehydratase FabZ	468
gene-SYNPCC7002_RS00360	258.187893281174	Other->30% CO2	0.43830571105373206	1.2215461021127702e-5	3.6669088381266245e-5	TRUE	NC_010475.1	76972	77229	-	protein-coding	SYNPCC7002_RS00360	SYNPCC7002_RS00360	SYNPCC7002_A0071	TIGR03643 family protein	258
gene-SYNPCC7002_RS00365	1051.5925232885625	Other->30% CO2	-0.00919723981371928	0.893519400480511	0.9200088184737171	FALSE	NC_010475.1	77289	78125	-	protein-coding	ylqF	SYNPCC7002_RS00365	SYNPCC7002_A0072	ribosome biogenesis GTPase YlqF	837
gene-SYNPCC7002_RS00370	8696.779850232944	Other->30% CO2	0.2395786639466055	0.005776479963397713	0.011192579653134142	TRUE	NC_010475.1	78306	79598	-	protein-coding	eno	SYNPCC7002_RS00370	SYNPCC7002_A0073	phosphopyruvate hydratase	1293
gene-SYNPCC7002_RS16605	3.388023143307568	Other->30% CO2	1.411614004265261	0.04068885511448458	0.06499752819969594	FALSE	NC_010475.1	79701	79904	-	protein-coding	SYNPCC7002_RS16605	SYNPCC7002_RS16605	NA	hypothetical protein	204
gene-SYNPCC7002_RS00375	1725.8420622167328	Other->30% CO2	0.8995357583392299	7.950635705740191e-47	1.7958428901776795e-45	TRUE	NC_010475.1	79979	80374	+	protein-coding	rbfA	SYNPCC7002_RS00375	SYNPCC7002_A0074	30S ribosome-binding factor RbfA	396
gene-SYNPCC7002_RS00380	2125.998313560078	Other->30% CO2	1.0347843204735303	4.259086143245164e-72	1.8590335463083618e-70	TRUE	NC_010475.1	80386	81978	+	protein-coding	SYNPCC7002_RS00380	SYNPCC7002_RS00380	SYNPCC7002_A0075	beta-glucosidase	1593
gene-SYNPCC7002_RS00385	2162.4978813750467	Other->30% CO2	-0.23716618747679108	0.004111761926484684	0.008243942285875562	TRUE	NC_010475.1	82165	82413	+	protein-coding	SYNPCC7002_RS00385	SYNPCC7002_RS00385	SYNPCC7002_A0076	DUF4327 family protein	249
gene-SYNPCC7002_RS16340	1094.920789602104	Other->30% CO2	-0.10195896934935832	0.2095822310437015	0.27551917227153266	FALSE	NC_010475.1	82481	82723	+	protein-coding	SYNPCC7002_RS16340	SYNPCC7002_RS16340	SYNPCC7002_A0077	DUF4327 family protein	243
gene-SYNPCC7002_RS00390	4126.647376607452	Other->30% CO2	0.3315606110658756	2.3631417631809574e-7	8.703475364965214e-7	TRUE	NC_010475.1	82844	83233	-	protein-coding	SYNPCC7002_RS00390	SYNPCC7002_RS00390	SYNPCC7002_A0078	hypothetical protein	390
gene-SYNPCC7002_RS00395	766.1091460353747	Other->30% CO2	-1.148570260058944	5.5027694394921635e-24	6.086967564917701e-23	TRUE	NC_010475.1	83336	83683	-	protein-coding	SYNPCC7002_RS00395	SYNPCC7002_RS00395	SYNPCC7002_A0079	hypothetical protein	348
gene-SYNPCC7002_RS17030	31.958312524528203	Other->30% CO2	0.06732064968082992	0.8204535436794422	0.8606072467516274	FALSE	NC_010475.1	83787	84305	-	protein-coding	SYNPCC7002_RS17030	SYNPCC7002_RS17030	NA	ion channel	519
gene-SYNPCC7002_RS17035	82.97679620851646	Other->30% CO2	-0.16742426341020242	0.34978442904975454	0.4247714148060977	FALSE	NC_010475.1	84224	84586	-	protein-coding	SYNPCC7002_RS17035	SYNPCC7002_RS17035	NA	hypothetical protein	363
gene-SYNPCC7002_RS00405	442.78281796696956	Other->30% CO2	-0.30451617937252423	4.197434246992657e-4	9.983588083789603e-4	TRUE	NC_010475.1	84600	84794	-	protein-coding	SYNPCC7002_RS00405	SYNPCC7002_RS00405	SYNPCC7002_A0081	heavy-metal-associated domain-containing protein	195
gene-SYNPCC7002_RS00410	1557.8191958005295	Other->30% CO2	-0.17453580236918834	0.0012420455349556544	0.002708850153887079	TRUE	NC_010475.1	84870	85547	-	protein-coding	SYNPCC7002_RS00410	SYNPCC7002_RS00410	SYNPCC7002_A0082	peptidoglycan-binding protein	678
gene-SYNPCC7002_RS00415	2261.998341960738	Other->30% CO2	-0.1555398811505113	0.04808696749597771	0.07572935397952608	FALSE	NC_010475.1	85586	86875	-	protein-coding	SYNPCC7002_RS00415	SYNPCC7002_RS00415	SYNPCC7002_A0083	insulinase family protein	1290
gene-SYNPCC7002_RS00420	276.858255952807	Other->30% CO2	0.1539716256720727	0.12045614402074861	0.17057139201535204	FALSE	NC_010475.1	86991	87764	+	protein-coding	SYNPCC7002_RS00420	SYNPCC7002_RS00420	SYNPCC7002_A0084	biotin--[acetyl-CoA-carboxylase] ligase	774
gene-SYNPCC7002_RS00425	440.31703761193313	Other->30% CO2	0.25180563097953185	0.0336196661823264	0.05492742628675482	FALSE	NC_010475.1	87845	88510	+	protein-coding	SYNPCC7002_RS00425	SYNPCC7002_RS00425	SYNPCC7002_A0085	SDR family oxidoreductase	666
gene-SYNPCC7002_RS00430	909.4230877516887	Other->30% CO2	0.4652028476669614	3.179642648321155e-12	1.8405458340640375e-11	TRUE	NC_010475.1	88528	89505	-	protein-coding	msrP	SYNPCC7002_RS00430	SYNPCC7002_A0086	protein-methionine-sulfoxide reductase catalytic subunit MsrP	978
gene-SYNPCC7002_RS00435	667.2021846635893	Other->30% CO2	1.1021782188932718	2.7876294151390555e-48	6.620619860955257e-47	TRUE	NC_010475.1	89652	90917	+	protein-coding	SYNPCC7002_RS00435	SYNPCC7002_RS00435	SYNPCC7002_A0087	MFS transporter	1266
gene-SYNPCC7002_RS00440	230.14940736435264	Other->30% CO2	0.40304408729123314	1.375450116624151e-4	3.5684368487518133e-4	TRUE	NC_010475.1	90933	91235	+	protein-coding	SYNPCC7002_RS00440	SYNPCC7002_RS00440	SYNPCC7002_A0088	hypothetical protein	303
gene-SYNPCC7002_RS00445	685.9073461771646	Other->30% CO2	0.1806415532270362	0.014737890309173418	0.02599857220023492	TRUE	NC_010475.1	91267	91764	+	protein-coding	SYNPCC7002_RS00445	SYNPCC7002_RS00445	SYNPCC7002_A0089	2TM domain-containing protein	498
gene-SYNPCC7002_RS00450	554.8785264773463	Other->30% CO2	0.41754285113335093	2.137920305058226e-6	7.097104404252898e-6	TRUE	NC_010475.1	91804	92343	+	protein-coding	SYNPCC7002_RS00450	SYNPCC7002_RS00450	SYNPCC7002_A0090	Uma2 family endonuclease	540
gene-SYNPCC7002_RS00455	948.4443301038399	Other->30% CO2	0.12600783085551445	0.2255687238679385	0.29237037644199093	FALSE	NC_010475.1	92387	93304	-	protein-coding	thrB	SYNPCC7002_RS00455	SYNPCC7002_A0091	homoserine kinase	918
gene-SYNPCC7002_RS00460	2360.3090490508375	Other->30% CO2	-0.115098869934197	0.06338838216868158	0.09676014858451866	FALSE	NC_010475.1	93327	94130	-	protein-coding	SYNPCC7002_RS00460	SYNPCC7002_RS00460	SYNPCC7002_A0092	hypothetical protein	804
