Geneid	seqnames	start	end	strand	type	name	locus_tag	old_locus_tag	product	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation
K07086_upstream.fna.motif.h2_3;High-power	NC_010475.1	502378	502432	-	CRS	K07086_upstream.fna.motif.h2_3;High-power	NA	NA	NA	6.715738762911101	20.754213670441647	12.981188816621648	45.04768118052201	0	0	0	0	0	0	0	0	0	0	0	0
K07086_upstream.fna.motif.h1_1;Conserved-sequence	NC_010475.1	502385	502418	-	CRS	K07086_upstream.fna.motif.h1_1;Conserved-sequence	NA	NA	NA	0	2.594276708805206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09121_upstream.fna.motif.h1_4;High-power	NC_010475.1	1795155	1795196	+	CRS	K09121_upstream.fna.motif.h1_4;High-power	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09942_upstream.fna.motif.h2_1;High-power	NC_010475.1	175136	175182	-	CRS	K09942_upstream.fna.motif.h2_1;High-power	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K21703_upstream.fna.motif.h2_1;High-power	NC_010475.1	1241338	1241383	+	CRS	K21703_upstream.fna.motif.h2_1;High-power	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02110_downstream.fna.motif.h1_5;High-covariation	NC_010475.1	768074	768129	-	CRS	K02110_downstream.fna.motif.h1_5;High-covariation	NA	NA	NA	4.477159175274068	0	0	10.599454395416943	37.173032967927355	19.36111600781655	46.518790121174334	9.766100106023057	37.24822889814756	23.86306421028679	45.131659894444304	7.204939855829066	21.615025332868584	8.730325076051244	44.15384751456085	5.470426643265675
Candidate_RF01343_CRISPR-DR33	NC_010478.1	26728	26764	+	CRISPR-DR33	RF01343_CRISPR-DR33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidate_RF01701_Cyano-1	NC_010475.1	1529205	1529274	-	Cyano-1	RF01701_Cyano-1	NA	NA	NA	0	0	0	0	0	0	0	0	4.656028612268445	0	0	1.8012349639572665	0	0	6.307692502080122	0
Candidate_RF02514_5_ureB_sRNA	NC_010475.1	204269	204555	+	5' ureB sRNA	RF02514_5_ureB_sRNA	NA	NA	NA	2.238579587637034	11.674245189623427	5.19247552664866	3.974795398281354	15.65180335491678	8.80050727628025	11.961974602587686	8.952258430521134	8.148050071469779	5.302903157841509	14.103643717013846	12.608644747700865	8.84251036344624	8.002797986380308	11.564102920480224	10.029115512653735
Candidate_RF02701_PsrR1	NC_010475.1	1264237	1264325	+	PsrR1	RF02701_PsrR1	NA	NA	NA	11.192897938185167	15.565660252831236	10.38495105329732	47.69754477937624	15.65180335491678	16.720963824932475	20.60117848223435	15.462991834536504	47.72429327575155	14.582983684064152	25.38655869062492	6.304322373850432	89.40760478595641	90.2133591191962	305.9230863508859	40.11646205061495
gene-SYNPCC7002_RS00010	NC_010475.1	1	1350	+	protein-coding	dnaA	SYNPCC7002_RS00010	SYNPCC7002_A0001	chromosomal replication initiator protein DnaA	524.9469133008845	590.1979512531843	643.8669653044337	614.7683549341828	606.5073800030252	469.94708855336535	566.8646853337386	639.6795569445101	504.0150972780592	527.6388642052302	534.9982183320585	479.1285004126329	587.5356885934278	576.9289821090531	555.0769401830507	509.6614155975854
gene-SYNPCC7002_RS00015	NC_010475.1	1424	2353	+	protein-coding	SYNPCC7002_RS00015	SYNPCC7002_RS00015	SYNPCC7002_A0002	cobalamin-binding protein	582.0306927856288	625.2206868220546	690.5992450442717	649.2165817192878	400.0992232600602	545.6314511293755	487.7827421277423	421.5699879099952	498.1950615127236	570.0620894679623	555.6835624503454	487.23405775044057	469.63555041414463	509.268962769656	511.9743747521699	388.400291671863
gene-SYNPCC7002_RS00025	NC_010475.1	2832	3110	-	protein-coding	nrtS2	SYNPCC7002_RS00025	SYNPCC7002_A0004	nitrate/nitrite transporter NrtS2	119.76400793858132	124.52528202264988	131.11000704787864	147.0674297364101	92.9325824198184	66.8838552997299	61.13898130211484	76.5011174971806	80.31649356163068	64.96056368355849	82.7413764731479	32.4222293512308	72.70508521055795	48.744315007952785	86.20513086176167	63.82164417143288
gene-SYNPCC7002_RS00030	NC_010475.1	3152	3406	-	protein-coding	nrtS1	SYNPCC7002_RS00030	SYNPCC7002_A0005	nitrate/nitrite transporter NrtS1	189.15997515532936	224.40493531165032	281.6917973206898	266.3112916848507	95.86729554886529	110.00634095350313	102.34133826658352	136.72540148432276	87.30053648003334	124.61822420927548	112.82914973611076	92.76360064379922	95.30261169492056	76.3903444154484	118.7948754558423	72.93902191020901
gene-SYNPCC7002_RS00035	NC_010475.1	3441	4133	-	protein-coding	SYNPCC7002_RS00035	SYNPCC7002_RS00035	SYNPCC7002_A0006	N-acetylmannosamine-6-phosphate 2-epimerase	83.94673453638877	108.95962176981864	119.42693711291916	113.94413475073216	136.95327935552183	124.96720332317956	122.94251674881788	135.91155980882084	90.79255793923468	125.94394999873586	116.59012139398112	112.57718524732915	103.16262090687276	118.58691561636276	107.23077253536208	102.1146306742926
gene-SYNPCC7002_RS00040	NC_010475.1	4152	4796	-	protein-coding	purN	SYNPCC7002_RS00040	SYNPCC7002_A0007	phosphoribosylglycinamide formyltransferase	456.6702358779549	415.0842734088329	394.62814002529814	418.6784486189693	855.9579959720114	881.8108290832811	791.4839862045519	782.1018501573463	693.7482632279982	644.3027336777434	764.4174894621505	742.1088051503938	503.0405895649416	676.6001933939715	496.2051434969696	539.7487621355466
gene-SYNPCC7002_RS00045	NC_010475.1	4889	5230	-	protein-coding	SYNPCC7002_RS00045	SYNPCC7002_RS00045	SYNPCC7002_A0008	phosphomannose isomerase type II C-terminal cupin domain	533.9012316514326	524.0438951786516	467.32279739837935	470.3507887966269	521.4006992606653	567.6327193200761	576.8329975025617	559.9230727453219	554.0674048599449	538.2446705209132	600.8152223447898	525.9606094755218	563.9556609575712	539.0975734461643	548.7692476809706	552.5130909698332
gene-SYNPCC7002_RS00050	NC_010475.1	5271	5630	-	protein-coding	SYNPCC7002_RS00050	SYNPCC7002_RS00050	SYNPCC7002_A0009	Spx/MgsR family RNA polymerase-binding regulatory protein	129.83761608294796	77.82830126415618	111.63822382294616	100.69481675646097	90.97610700045378	128.48740623369164	77.75283491681996	108.24094284175553	107.08865808217423	82.1949989465434	75.21943315740718	97.2666880536924	82.53009672549823	96.76110292623464	71.48718169024139	88.43856406612842
gene-SYNPCC7002_RS00055	NC_010475.1	5742	6824	+	protein-coding	SYNPCC7002_RS00055	SYNPCC7002_RS00055	SYNPCC7002_A0010	class I fructose-bisphosphate aldolase	1966.5921677391343	1934.033286414281	2057.5184274345315	2019.196062326928	743.4606593585471	755.9635750324735	805.4396232409042	1021.3713027549112	1012.6862231683868	1129.5183726202415	885.7088254284695	973.5674980189024	2204.7325839525956	1985.4214277119872	2053.1539094270797	2336.783914448321
gene-SYNPCC7002_RS00060	NC_010475.1	7044	7613	+	protein-coding	SYNPCC7002_RS00060	SYNPCC7002_RS00060	SYNPCC7002_A0011	Uma2 family endonuclease	737.6119741264026	620.0321334044443	989.1665878265696	793.6341478568437	310.1013539692887	210.33212390309797	241.23315448551833	346.6965537638185	287.50976680757645	197.53314262959623	210.6144128407401	235.9617802784019	496.1630815044834	504.17627314195937	468.87180932128905	507.8379400498302
gene-SYNPCC7002_RS16035	NC_010475.1	7646	8308	+	protein-coding	SYNPCC7002_RS16035	SYNPCC7002_RS16035	SYNPCC7002_A0012	NUDIX hydrolase	1384.5614749535057	1605.8572827504224	2236.65883310391	2213.9610368427143	345.3179115178515	317.698312673717	394.0806077408054	349.95192046582616	366.66225321614	331.43144736509436	298.9972468006935	392.6692221426841	732.9458590145438	851.2066949149963	879.923104040177	794.1236010474005
gene-SYNPCC7002_RS00070	NC_010475.1	8305	9621	+	protein-coding	SYNPCC7002_RS00070	SYNPCC7002_RS00070	SYNPCC7002_A0013	hypothetical protein	3266.0876183624323	3808.3982085260423	5170.407505660402	4561.740185427567	897.043979778668	745.4029663009371	758.9208331197299	1070.2018032850265	1016.178244627588	810.0184573602907	871.6051817114557	949.2508260054794	1795.0296037795863	1713.3262961750568	1700.974411394273	1681.2444550303176
gene-SYNPCC7002_RS00075	NC_010475.1	9729	10484	+	protein-coding	SYNPCC7002_RS00075	SYNPCC7002_RS00075	SYNPCC7002_A0014	DUF1995 family protein	2239.6988774308525	1985.9188205903852	2522.2449870695864	2118.5659472839616	1190.5152926833575	1399.2806569285597	1204.172109993827	1283.42832226653	1223.3715178735338	1313.794257355234	1232.65846086701	1259.063239806129	1715.4470105085702	1645.6662768356596	1654.717999712352	1553.6011666874515
gene-SYNPCC7002_RS00080	NC_010475.1	10504	11418	+	protein-coding	SYNPCC7002_RS00080	SYNPCC7002_RS00080	SYNPCC7002_A0015	TIGR04168 family protein	416.3758033004883	374.87298442235226	484.1983428599875	398.8044716275625	378.57799364704965	357.3005954169781	300.37847335386857	363.7872289493588	339.8900886955965	277.07668999721886	340.36793503726744	378.259342431026	535.4631275642445	537.6425192668224	503.56411808272975	541.5722376833019
gene-SYNPCC7002_RS00085	NC_010475.1	11402	11782	-	protein-coding	SYNPCC7002_RS00085	SYNPCC7002_RS00085	SYNPCC7002_A0016	VOC family protein	292.1346361866329	259.42767088052057	311.54853159891957	321.9584272607897	121.30147600060504	148.72857296913622	123.60707089340607	116.37935959677476	116.40071530671112	119.31532105143395	155.1400808871523	116.17965517524368	150.32267617858605	138.23014703747805	179.76923630928349	134.93719053388665
gene-SYNPCC7002_RS00090	NC_010475.1	11850	12152	-	protein-coding	SYNPCC7002_RS00090	SYNPCC7002_RS00090	SYNPCC7002_A0017	hypothetical protein	417.4950930943068	422.8671035352486	467.32279739837935	523.3480607737116	163.3656975169439	179.5303484361171	169.46130686999223	144.86381823934198	153.64894420485868	139.20120789333964	164.5425100318282	163.91238172011126	183.72771532938296	185.51940786608895	166.10256922144322	166.84801261960308
gene-SYNPCC7002_RS00095	NC_010475.1	12398	12628	+	protein-coding	SYNPCC7002_RS00095	SYNPCC7002_RS00095	SYNPCC7002_A0018	hypothetical protein	795.8150434049655	819.791439982445	1032.0045109214211	879.7547148196063	415.751026614977	398.6629796154953	427.3083149702157	386.5747958634126	371.3182818284085	371.2032210489057	442.85441271423474	396.27169207059865	443.10801932380593	472.89260828610907	476.2307839070492	466.8097402253376
gene-SYNPCC7002_RS00100	NC_010475.1	12655	14193	+	protein-coding	SYNPCC7002_RS00100	SYNPCC7002_RS00100	SYNPCC7002_A0019	AAA family ATPase	983.8557287664764	954.6938288403156	973.5891612466236	904.9284190087216	584.9861503900147	593.1541904212888	596.1050676956197	728.3882995742196	590.1516266050254	558.1305573628189	503.0299592401605	610.6186527815133	753.5783831959183	744.2602127333686	784.2564344252952	817.8287831682185
gene-SYNPCC7002_RS00105	NC_010475.1	14203	14742	+	protein-coding	rsmD	SYNPCC7002_RS00105	SYNPCC7002_A0020	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	258.5559423720774	293.1532680949883	277.7974406757033	266.3112916848507	287.60188664659586	254.3346602844992	276.45452414869317	294.6106865316955	272.377673817704	233.32773894502645	250.10461524837885	253.07351243599595	287.87283738774977	339.7551508763276	309.076932601926	321.8434341787972
gene-SYNPCC7002_RS00110	NC_010475.1	14914	15801	-	protein-coding	SYNPCC7002_RS00110	SYNPCC7002_RS00110	SYNPCC7002_A0021	alpha/beta fold hydrolase	1190.924340622902	1093.4876327613945	1190.3750144842052	1200.388210280969	1725.6113198795751	1925.5509920501188	1730.4989925076852	1973.566063092159	1813.5231444785593	1863.9704599812903	1864.5016993892305	1806.6386688491384	2536.8179731575765	2619.825049905044	2688.128287969812	2520.043206997721
gene-SYNPCC7002_RS00115	NC_010475.1	15864	20024	-	protein-coding	SYNPCC7002_RS00115	SYNPCC7002_RS00115	SYNPCC7002_A0022	WD repeat-containing protein	457.78952567177345	450.1070089777032	380.3488323270143	393.5047444298541	549.7695928414519	646.8372848065984	572.8456726350325	581.0829563083718	512.1631473495289	615.1367663096152	581.0701211409704	522.3581395476073	513.8481022313758	513.6341253076815	503.56411808272975	449.486722521663
gene-SYNPCC7002_RS00120	NC_010475.1	20106	20954	+	protein-coding	SYNPCC7002_RS00120	SYNPCC7002_RS00120	SYNPCC7002_A0023	FtsQ-type POTRA domain-containing protein	1307.330479180028	1350.3210269331096	1457.787504106611	1601.8425455073857	1024.2148820373668	1536.5685704385317	1337.082938911468	1297.2636307500625	1214.059460648997	1555.0763510370227	1465.8387036549725	1202.3243384414754	1291.9890142146448	1319.006613573409	1588.4872284405108	1153.3482839551798
gene-SYNPCC7002_RS00130	NC_010475.1	22367	23170	+	protein-coding	thiD	SYNPCC7002_RS00130	SYNPCC7002_A0025	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	700.6754109303916	648.5691772013015	547.8061680614336	581.6450599485048	1091.7132840054455	1330.636700173574	1333.760168188527	1370.509381545235	964.9619298926352	1190.5017589354188	1145.2158698215242	1114.0638252075694	1170.1588714293855	1158.950653845803	1289.923116675385	1091.350115331502
gene-SYNPCC7002_RS00135	NC_010475.1	23167	24519	-	protein-coding	SYNPCC7002_RS00135	SYNPCC7002_RS00135	SYNPCC7002_A0026	GTP-binding protein	732.0155251573101	687.4833278333796	741.2258814290961	798.9338750545521	455.8587727119513	584.3536831450086	520.3458952125643	630.727298513989	437.6666895532338	556.8048315733586	535.9384612465261	518.7556696196928	762.4208935593646	782.0916213962573	784.2564344252952	795.9470765951557
gene-SYNPCC7002_RS00140	NC_010475.1	24806	25246	+	protein-coding	SYNPCC7002_RS00140	SYNPCC7002_RS00140	SYNPCC7002_A0027	hypothetical protein	259.6752321658959	322.98745024624816	292.0767483739871	315.33376826365406	167.27864835567308	127.60735550606364	115.63242115834764	157.0714433718708	180.42110872540223	131.24685315657737	150.43886631481436	196.33461107134204	213.20274987420373	150.59810756188398	152.43590213360295	192.37667028817623
gene-SYNPCC7002_RS00145	NC_010475.1	25340	26419	+	protein-coding	SYNPCC7002_RS00145	SYNPCC7002_RS00145	SYNPCC7002_A0028	hypothetical protein	641.3530518580102	507.18109657141775	502.3720072032578	625.3678093295997	359.99147716308596	379.3018636076788	380.78952484904136	365.41491230036263	345.71012446093204	387.1119305224302	386.4398378461794	393.56983962466273	452.9330308387462	517.9992878457072	496.2051434969696	455.8688869388062
gene-SYNPCC7002_RS00150	NC_010475.1	26445	27062	-	protein-coding	SYNPCC7002_RS00150	SYNPCC7002_RS00150	SYNPCC7002_A0029	LysE family translocator	626.8022845383695	594.0893663163921	610.1158743812175	650.541513518715	434.3375430989406	462.9066827323411	469.1752260792726	439.47450477103746	445.8147396247036	461.35257473221134	508.671416726966	446.7062710614021	491.2505757470132	456.88701231334846	475.1795018233692	442.19282033064206
gene-SYNPCC7002_RS00155	NC_010475.1	27194	28225	+	protein-coding	csaB	SYNPCC7002_RS00155	SYNPCC7002_A0030	polysaccharide pyruvyl transferase CsaB	358.1727340219254	273.69619277894924	251.83506304246	223.91347410318292	496.9447565186078	466.4268856428533	404.7134740542167	495.62958038067006	417.8785679510929	414.95217210109814	397.72275281979046	503.445172426056	412.6504836274911	365.2185990148104	367.94872928800714	462.2510513559496
gene-SYNPCC7002_RS00160	NC_010475.1	28366	28854	+	protein-coding	SYNPCC7002_RS00160	SYNPCC7002_RS00160	SYNPCC7002_A0031	DNA starvation/stationary phase protection protein	6430.31986548738	7131.666672505511	6770.988086749852	7601.133733313376	7500.148520134185	8946.595697066503	8178.003303302448	8800.883878877778	8018.845277479329	10947.843569363797	9834.00064241652	8300.991331397063	7844.289193528308	8263.252684482502	8552.179750736965	7141.641982783339
gene-SYNPCC7002_RS16250	NC_010475.1	28953	29348	+	tmRNA	ssrA	SYNPCC7002_RS16250	SYNPCC7002_A0032	transfer-messenger RNA	3173167.5375490007	3981445.54497183	3896991.8263162686	4793991.455344545	1278852.1143430886	1158311.3270445473	1162822.2220092595	1146465.2790129606	1361976.8336321532	1220569.2198403804	1437536.4516865837	1413391.2502830238	2141216.832011961	2107570.315959379	2393396.0993997	2149340.657254596
gene-SYNPCC7002_RS00165	NC_010475.1	29424	30743	-	protein-coding	SYNPCC7002_RS00165	SYNPCC7002_RS00165	SYNPCC7002_A0033	hemolysin family protein	2179.2572285646525	2397.1116789360103	2545.611126939505	2603.4909858742867	2492.5496842704974	2506.384472284615	2585.7801765927047	2416.2959345652043	2428.118921297994	2414.1466626073475	2633.620403423719	2360.5184202659975	2164.4500367413402	2250.2412883522084	2422.153920798766	2215.5227905225984
gene-SYNPCC7002_RS00170	NC_010475.1	30885	31730	-	protein-coding	SYNPCC7002_RS00170	SYNPCC7002_RS00170	SYNPCC7002_A0034	3'(2'),5'-bisphosphate nucleotidase CysQ	770.0713781471396	869.0826974497439	654.2519163577311	720.7628988883522	1800.935623525112	1860.427238205645	1844.8023053768568	1530.8361916191138	1964.8440743772835	1617.3854631416605	1947.2430758623784	2016.48254215016	1428.5566742723145	1588.9191638413265	1409.7692742149072	1499.8086380286727
gene-SYNPCC7002_RS00175	NC_010475.1	31804	33420	-	protein-coding	lysS	SYNPCC7002_RS00175	SYNPCC7002_A0035	lysine--tRNA ligase	2284.470469183593	2403.5973707080234	1923.812182623328	2086.767584097711	5663.99633906051	5742.330997772863	5858.709338689613	4826.081135726393	5866.59605145824	6000.234923097668	5908.486474514333	5824.293255955821	4241.457470999712	4427.729867737323	4753.897582401052	4396.399545637848
gene-SYNPCC7002_RS00180	NC_010475.1	33504	34478	-	protein-coding	SYNPCC7002_RS00180	SYNPCC7002_RS00180	SYNPCC7002_A0036	hypothetical protein	622.3251253630955	736.7745853006785	837.2866786720963	828.0823746419487	81.1937299036308	113.52654386401522	105.66410898952456	90.33642598071326	87.30053648003334	83.52072473600377	101.54623476249968	92.76360064379922	242.67778441902453	263.3648064608792	268.0769313384052	238.8752967559345
gene-SYNPCC7002_RS00185	NC_010475.1	34718	35728	+	protein-coding	trpS	SYNPCC7002_RS00185	SYNPCC7002_A0037	tryptophan--tRNA ligase	1710.274804954694	1552.6746102199158	1126.767189282759	1160.6402562981552	3703.607968857183	3615.2483890959265	3944.1288481309953	3499.5192046582615	4003.020599397795	3787.5985804882985	3928.3348966455897	3977.126800417645	4117.662325911465	3978.118126320683	3889.743709616075	4099.173031353746
gene-SYNPCC7002_RS00190	NC_010475.1	35772	36683	+	protein-coding	SYNPCC7002_RS00190	SYNPCC7002_RS00190	SYNPCC7002_A0038	methylenetetrahydrofolate reductase	813.7236801060618	852.2198988425101	682.8105317542987	646.5667181204335	1448.7700480394844	1327.9965479906898	1347.0512510802912	1363.99864814122	1479.4530915482983	1217.0162747246266	1343.6071247741856	1684.154691300044	1590.6693642688288	1608.562395262442	1739.8718484904336	1708.596588246646
gene-SYNPCC7002_RS00195	NC_010475.1	36701	37603	+	protein-coding	SYNPCC7002_RS00195	SYNPCC7002_RS00195	SYNPCC7002_A0039	PhzF family phenazine biosynthesis protein	348.0991258775588	319.09603518304033	267.412489622406	332.55788165620663	694.5487738744322	659.1579949933907	792.8130944937283	636.4241902425024	678.6161702381258	776.8753126237812	867.8442100535852	810.55573378077	694.6283141062768	760.9933357958001	890.4359248769772	747.6249745796423
gene-SYNPCC7002_RS00200	NC_010475.1	37587	38036	+	protein-coding	SYNPCC7002_RS00200	SYNPCC7002_RS00200	NA	PhzF family phenazine biosynthesis isomerase	42.53301216510364	37.617012277675485	62.30970631978391	70.22138536963725	130.10561538774573	118.80684822978336	140.2209245081112	93.59179268272096	135.0248297557849	135.2240305249585	127.8730363675922	158.50867682823946	127.72514969422345	109.8565905403115	123.00000379056236	141.31935495102994
gene-SYNPCC7002_RS00205	NC_010475.1	38116	39978	-	protein-coding	ftsH3	SYNPCC7002_RS00205	SYNPCC7002_A0040	ATP-dependent zinc metalloprotease FtsH3	47636.973624916085	56677.16325726733	52083.12577004938	60506.98541623762	26605.13099022948	28302.43140051729	28271.46241907141	28039.28724606769	27745.27450050766	30478.435899694075	30290.86573248787	26975.294820224022	41957.7116745524	45445.70718338475	46066.12962477481	40752.85501678153
gene-SYNPCC7002_RS00210	NC_010475.1	40120	45915	-	protein-coding	SYNPCC7002_RS00210	SYNPCC7002_RS00210	SYNPCC7002_A0041	translocation/assembly module TamB domain-containing protein	4619.30897908902	4348.007763957525	4291.581022775117	4392.148915100896	3220.358540274128	3353.8733229904033	3589.256934920894	3825.05587485903	2676.0524449012887	3118.1070568108075	3197.7661521042724	3098.1241380064985	3999.7621877321817	3513.955843110626	3556.487289089509	3924.1193787692446
gene-SYNPCC7002_RS00215	NC_010475.1	46222	46563	-	protein-coding	SYNPCC7002_RS00215	SYNPCC7002_RS00215	SYNPCC7002_A0042	hypothetical protein	702.9139905180286	758.8259373255228	629.58765760615	744.6116712780403	4694.562768765351	5171.178075542275	4570.803406477672	5061.281379946448	5909.6643161217235	6128.830324675325	5601.027041483432	6034.137129256843	5798.721796117744	6334.5783697648485	6610.461742179968	6087.673116180819
gene-SYNPCC7002_RS00220	NC_010475.1	46832	48373	+	protein-coding	SYNPCC7002_RS00220	SYNPCC7002_RS00220	SYNPCC7002_A0043	FAD-binding oxidoreductase	2022.5566574300601	1873.0677837573587	1773.2303923505171	1726.3861346535348	1006.6066032630854	1040.2199600563256	1077.24226837748	1060.4357031790034	1035.966366229729	859.0703115703245	929.9002424084462	990.6792301764966	1599.511874632275	1583.82647421363	1647.359025126592	1770.5947568703236
gene-SYNPCC7002_RS00225	NC_010475.1	48397	49074	-	protein-coding	SYNPCC7002_RS00225	SYNPCC7002_RS00225	SYNPCC7002_A0044	hypothetical protein	352.5762850528329	247.75342569089716	186.92911895935177	226.56333770203716	380.5344690664142	454.1061754560609	432.6247481269213	358.09033722084536	353.8581745324018	486.54136473195854	440.033683970832	463.8180032189961	319.3128742355586	419.7831307401307	365.8461651206471	417.57590043594655
gene-SYNPCC7002_RS00230	NC_010475.1	49554	50762	+	protein-coding	SYNPCC7002_RS00230	SYNPCC7002_RS00230	SYNPCC7002_A0045	response regulator	8486.455216731996	8085.063362991425	9108.90019262341	10004.560017474168	2697.97960330378	3700.613309675846	3114.7652756849157	2657.193070513773	2706.3166308810337	2644.822949973453	2766.1946543636486	2642.41169212531	3361.1364392610644	3428.1076465294555	3460.820619474627	3311.4315947234886
gene-SYNPCC7002_RS00235	NC_010475.1	50845	51207	+	protein-coding	SYNPCC7002_RS00235	SYNPCC7002_RS00235	SYNPCC7002_A0046	response regulator	1705.7976457794198	1503.383352752617	1504.5197838464492	1519.6967739429042	980.1941851016634	975.9762569394798	810.0915022530216	843.9538174954923	864.8573147288636	775.5495868343207	679.7956271600673	999.685404996283	954.0086181006996	791.5494735619795	727.4872019065741	1009.2937156825172
gene-SYNPCC7002_RS00240	NC_010475.1	51282	51773	+	protein-coding	SYNPCC7002_RS00240	SYNPCC7002_RS00240	SYNPCC7002_A0047	chemotaxis protein CheW	2038.2267145435192	1752.4339167979165	1980.9294134164636	2175.5380146593275	1066.2791035537057	1289.2743159750569	1086.546026401715	1035.206611238444	838.0851502083201	938.6138589379472	982.5538456186312	1093.3496231220608	1101.3837908248038	1036.7261027810853	1062.8461866005005	1146.054381764159
