Geneid	seqnames	start	end	strand	type	name	locus_tag	old_locus_tag	product	Z-Scaled expression 0.04%	Z-Scaled expression 4%	Z-Scaled expression 8%	Z-Scaled expression 30%	DE in ≥1 pairwsie comparisons	0.04->30% log2FC	0.04->30% FDR	0.04->4% log2FC	0.04->4% FDR	0.04->8% log2FC	0.04->8% FDR	4->30% log2FC	4->30% FDR	4->8% log2FC	4->8% FDR	8->30% log2FC	8->30% FDR	KEGG orthology 1	KEGG orthology 2	KEGG orthology 3	KEGG orthology 4	KEGG orthology 5	KEGG orthology 6	KEGG orthology 7	KEGG orthology 8	KEGG orthology 9	KEGG orthology 10	KEGG orthology 11	KEGG pathway 1	KEGG pathway 2	KEGG pathway 3	KEGG pathway 4	KEGG pathway 5	KEGG pathway 6	KEGG pathway 7	KEGG pathway 8	KEGG pathway 9	KEGG pathway 10	KEGG pathway 11	KEGG pathway 12	KEGG pathway 13	KEGG pathway 14	KEGG pathway 15	KEGG pathway 16	KEGG pathway 17	KEGG pathway 18	KEGG pathway 19	KEGG pathway 20	KEGG pathway 21	KEGG pathway 22	KEGG pathway 23	KEGG pathway 24	KEGG pathway 25	KEGG pathway 26	KEGG pathway 27
K04485_upstream.fna.motif.h1_3;High-power	NC_010475.1	1008015	1008057	-	CRS	K04485_upstream.fna.motif.h1_3;High-power	NA	NA	NA	0.9682458365518544	0.9682458365518544	0.9682458365518544	0.9682458365518544	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K07086_upstream.fna.motif.h2_3;High-power	NC_010475.1	502378	502432	-	CRS	K07086_upstream.fna.motif.h2_3;High-power	NA	NA	NA	1.5889223203477632	-0.5296407734492528	-0.5296407734492528	-0.5296407734492528	no	-6.996410950367296	0.07267546737195586	-7.135722894237949	0.06317780038698353	-6.763529594611242	0.0731129010042186	0	1	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K07086_upstream.fna.motif.h1_1;Conserved-sequence	NC_010475.1	502385	502418	-	CRS	K07086_upstream.fna.motif.h1_1;Conserved-sequence	NA	NA	NA	0.7500000000000033	-0.24999999999999684	-0.24999999999999684	-0.24999999999999684	no	-1.9560789099733045	NA	-2.0953901718141945	NA	-1.723198694334973	NA	0	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K09121_upstream.fna.motif.h1_4;High-power	NC_010475.1	1795155	1795196	+	CRS	K09121_upstream.fna.motif.h1_4;High-power	NA	NA	NA	0.9682458365518544	0.9682458365518544	0.9682458365518544	0.9682458365518544	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K09942_upstream.fna.motif.h2_1;High-power	NC_010475.1	175136	175182	-	CRS	K09942_upstream.fna.motif.h2_1;High-power	NA	NA	NA	0.9682458365518544	0.9682458365518544	0.9682458365518544	0.9682458365518544	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K21703_upstream.fna.motif.h2_1;High-power	NC_010475.1	1241338	1241383	+	CRS	K21703_upstream.fna.motif.h2_1;High-power	NA	NA	NA	0.9682458365518544	0.9682458365518544	0.9682458365518544	0.9682458365518544	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K02110_downstream.fna.motif.h1_5;High-covariation	NC_010475.1	768074	768129	-	CRS	K02110_downstream.fna.motif.h1_5;High-covariation	NA	NA	NA	-1.1924843486745569	0.5377234960611077	0.5266949992560133	0.1280658533574345	yes	2.4015002336445517	0.05271060666946715	2.906109038209451	0.01227188699363437	2.912237372181392	0.01231921686242749	-0.5046088045648998	1	0.00612833397194088	1	-0.5107371385368406	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Candidate_RF01343_CRISPR-DR33	NC_010478.1	26728	26764	+	CRISPR-DR33	RF01343_CRISPR-DR33	NA	NA	NA	0.9682458365518544	0.9682458365518544	0.9682458365518544	0.9682458365518544	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Candidate_RF01701_Cyano-1	NC_010475.1	1529205	1529274	-	Cyano-1	RF01701_Cyano-1	NA	NA	NA	-0.4499758218734222	-0.4499758218734222	0.6043573040370882	0.29559433970976096	no	2.762268626469126	NA	0	NA	2.8030093322339136	NA	3.368094763583875	NA	3.408835469348662	NA	-0.04074070576478759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Candidate_RF02514_5_ureB_sRNA	NC_010475.1	204269	204555	+	5' ureB sRNA	RF02514_5_ureB_sRNA	NA	NA	NA	-1.0125837768079964	0.5690273471764058	0.23033917069860593	0.21321725893297855	no	0.74608958016337	NA	0.9888770892398988	NA	0.8533580976544209	NA	-0.24278750907652888	NA	-0.1355189915854779	NA	-0.10726851749105104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Candidate_RF02701_PsrR1	NC_010475.1	1264237	1264325	+	PsrR1	RF02701_PsrR1	NA	NA	NA	-0.44949561646604896	-0.5003914609532145	-0.37413944415653866	1.3240265215757994	yes	2.6340489516887913	8.409483234569888e-4	-0.303812075496352	1	0.1482321380573187	1	2.9378610271851433	1.1802382495965128e-4	0.45204421355367064	1	2.4858168136314722	0.00140551169689984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00010	NC_010475.1	1	1350	+	protein-coding	dnaA	SYNPCC7002_RS00010	SYNPCC7002_A0001	chromosomal replication initiator protein DnaA	0.6445527079441506	0.2060078787542694	-0.862899369676782	0.01233878297839437	no	-0.0890420851387281	NA	-0.05484756032027064	NA	-0.21398533678106613	NA	-0.03419452481845746	NA	-0.1591377764607955	NA	0.12494325164233802	NA	09130 Environmental Information Processing > 09132 Signal transduction > 02020 Two-component system [PATH:syp02020]	09180 Brite Hierarchies > 09182 Protein families: genetic information processing > 03032 DNA replication proteins [BR:syp03032]	09180 Brite Hierarchies > 09182 Protein families: genetic information processing > 03036 Chromosome and associated proteins [BR:syp03036]	NA	NA	NA	NA	NA	NA	NA	NA	Two-component system (syp02020)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00015	NC_010475.1	1424	2353	+	protein-coding	SYNPCC7002_RS00015	SYNPCC7002_RS00015	SYNPCC7002_A0002	cobalamin-binding protein	1.2394133311265256	-0.7126512368822016	0.0990394151189082	-0.6258015093632417	yes	-0.4376631146741025	5.410623229550944e-4	-0.45540010485365007	2.631364923895384e-4	-0.2712120682180586	0.07120700149656024	0.01773699017954752	0.9789034749745792	0.18418803663559147	0.33666497112849203	-0.16645104645604394	0.33666497112849203	09180 Brite Hierarchies > 09183 Protein families: signaling and cellular processes > 02000 Transporters [BR:syp02000]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00025	NC_010475.1	2832	3110	-	protein-coding	nrtS2	SYNPCC7002_RS00025	SYNPCC7002_A0004	nitrate/nitrite transporter NrtS2	1.3184372002152416	-0.2087946306468032	-0.648780899488427	-0.460861670080018	yes	-0.952920753986595	2.6921953901286685e-4	-0.8173312027758752	0.00189190771631701	-1.010499503217484	1.1978277242333992e-4	-0.13558955121071992	1	-0.1931683004416087	1	0.05757874923088882	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00030	NC_010475.1	3152	3406	-	protein-coding	nrtS1	SYNPCC7002_RS00030	SYNPCC7002_A0005	nitrate/nitrite transporter NrtS1	1.5226301527928516	-0.2983620755003818	-0.44627748196141914	-0.7779905953310537	yes	-1.4105066236170107	3.837104927494394e-14	-1.1085901247391583	1.7985409208432346e-9	-1.205512133202132	1.7033185888572483e-10	-0.3019164988778522	0.34058548920022486	-0.0969220084629736	0.6714965936878153	-0.20499449041487863	0.618869750580262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00035	NC_010475.1	3441	4133	-	protein-coding	SYNPCC7002_RS00035	SYNPCC7002_RS00035	SYNPCC7002_A0006	N-acetylmannosamine-6-phosphate 2-epimerase	-0.5128710312057895	1.0568470096226863	-0.1628153590859873	-0.3811606193309137	no	0.02599010565725416	NA	0.2925790428411832	NA	0.0700699593701815	NA	-0.266588937183929	NA	-0.22250908347100168	NA	-0.04407985371292732	NA	09100 Metabolism > 09101 Carbohydrate metabolism > 00520 Amino sugar and nucleotide sugar metabolism [PATH:syp00520]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Metabolic pathways (syp01100)	Amino sugar and nucleotide sugar metabolism (syp00520)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00040	NC_010475.1	4152	4796	-	protein-coding	purN	SYNPCC7002_RS00040	SYNPCC7002_A0007	phosphoribosylglycinamide formyltransferase	-1.3172442068571608	1.1150801746260144	0.561952996685859	-0.3597889644547126	yes	0.39787111158874233	4.564105592859592e-4	0.9726398677884972	1.501822440905861e-20	0.756477121952288	1.8955822499912794e-12	-0.574768756199755	3.093602981840726e-8	-0.21616274583620937	0.03223299811791922	-0.35860601036354567	8.091877167180346e-4	09100 Metabolism > 09104 Nucleotide metabolism > 00230 Purine metabolism [PATH:syp00230]	09100 Metabolism > 09108 Metabolism of cofactors and vitamins > 00670 One carbon pool by folate [PATH:syp00670]	NA	NA	NA	NA	NA	NA	NA	NA	NA	Metabolic pathways (syp01100)	Biosynthesis of secondary metabolites (syp01110)	Purine metabolism (syp00230)	One carbon pool by folate (syp00670)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00045	NC_010475.1	4889	5230	-	protein-coding	SYNPCC7002_RS00045	SYNPCC7002_RS00045	SYNPCC7002_A0008	phosphomannose isomerase type II C-terminal cupin domain	-1.2009265198207064	0.464030246919696	0.41040011924638825	0.3264961536546172	no	0.14122830186854432	NA	0.15758799951778055	NA	0.15251313550527795	NA	-0.01635969764923622	NA	-0.00507486401250259	NA	-0.01128483363673362	NA	09100 Metabolism > 09101 Carbohydrate metabolism > 00051 Fructose and mannose metabolism [PATH:syp00051]	09100 Metabolism > 09101 Carbohydrate metabolism > 00520 Amino sugar and nucleotide sugar metabolism [PATH:syp00520]	09100 Metabolism > 09107 Glycan biosynthesis and metabolism > 00541 O-Antigen nucleotide sugar biosynthesis [PATH:syp00541]	NA	NA	NA	NA	NA	NA	NA	NA	Metabolic pathways (syp01100)	Biosynthesis of secondary metabolites (syp01110)	Biosynthesis of nucleotide sugars (syp01250)	Biosynthesis of cofactors (syp01240)	Fructose and mannose metabolism (syp00051)	Amino sugar and nucleotide sugar metabolism (syp00520)	O-Antigen nucleotide sugar biosynthesis (syp00541)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00050	NC_010475.1	5271	5630	-	protein-coding	SYNPCC7002_RS00050	SYNPCC7002_RS00050	SYNPCC7002_A0009	Spx/MgsR family RNA polymerase-binding regulatory protein	0.5174668603889716	0.32167747682177733	-0.25562724597920483	-0.5835170912315355	no	-0.30633637152982207	NA	-0.0588581489430033	NA	-0.2197991407887752	NA	-0.24747822258681876	NA	-0.1609409918457719	NA	-0.08653723074104683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00055	NC_010475.1	5742	6824	+	protein-coding	SYNPCC7002_RS00055	SYNPCC7002_RS00055	SYNPCC7002_A0010	class I fructose-bisphosphate aldolase	0.8543427108526365	-1.1494468292778564	-0.7214128106854462	1.0165169291106717	yes	0.10495518196505364	0.3106239626074533	-1.261118814245221	4.831114476783138e-37	-0.9973317747448514	1.232450111225646e-23	1.3660739962102746	9.178853621013899e-44	0.2637870395003695	0.01772654747989022	1.102286956709905	8.352575425950217e-29	09100 Metabolism > 09101 Carbohydrate metabolism > 00010 Glycolysis / Gluconeogenesis [PATH:syp00010]	09100 Metabolism > 09101 Carbohydrate metabolism > 00030 Pentose phosphate pathway [PATH:syp00030]	09100 Metabolism > 09101 Carbohydrate metabolism > 00051 Fructose and mannose metabolism [PATH:syp00051]	09100 Metabolism > 09102 Energy metabolism > 00710 Carbon fixation by Calvin cycle [PATH:syp00710]	09100 Metabolism > 09102 Energy metabolism > 00680 Methane metabolism [PATH:syp00680]	NA	NA	NA	NA	NA	NA	Metabolic pathways (syp01100)	Biosynthesis of secondary metabolites (syp01110)	Microbial metabolism in diverse environments (syp01120)	Carbon metabolism (syp01200)	Biosynthesis of amino acids (syp01230)	Glycolysis / Gluconeogenesis (syp00010)	Pentose phosphate pathway (syp00030)	Fructose and mannose metabolism (syp00051)	Carbon fixation by Calvin cycle (syp00710)	Methane metabolism (syp00680)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00060	NC_010475.1	7044	7613	+	protein-coding	SYNPCC7002_RS00060	SYNPCC7002_RS00060	SYNPCC7002_A0011	Uma2 family endonuclease	1.301976872307879	-0.7106713299007232	-1.0213850929222377	0.4300795505150775	yes	-0.6670404569672865	2.6837428292935084e-5	-1.5035853387477025	1.1015055925959247e-21	-1.7526061296443918	3.529233009947277e-28	0.8365448817804161	2.1632674018462786e-7	-0.24902079089668896	0.13224557748462298	1.085565672677105	2.4103521447495767e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS16035	NC_010475.1	7646	8308	+	protein-coding	SYNPCC7002_RS16035	SYNPCC7002_RS16035	SYNPCC7002_A0012	NUDIX hydrolase	1.428199010596939	-0.8547592632408564	-0.874559196432761	0.3011194490766725	yes	-1.1907433082599204	4.196294168438608e-18	-2.4007476666995116	5.688225048459478e-68	-2.419540772113826	1.1669549971539911e-67	1.2100043584395912	4.196294168438608e-18	-0.01879310541431416	1	1.2287974638539054	4.196294168438608e-18	09100 Metabolism > 09104 Nucleotide metabolism > 00230 Purine metabolism [PATH:syp00230]	09100 Metabolism > 09108 Metabolism of cofactors and vitamins > 00740 Riboflavin metabolism [PATH:syp00740]	NA	NA	NA	NA	NA	NA	NA	NA	NA	Metabolic pathways (syp01100)	Purine metabolism (syp00230)	Riboflavin metabolism (syp00740)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00070	NC_010475.1	8305	9621	+	protein-coding	SYNPCC7002_RS00070	SYNPCC7002_RS00070	SYNPCC7002_A0013	hypothetical protein	1.4871617003224935	-0.8702431939146664	-0.7862299328304165	0.16931142642258257	yes	-1.2861317965638013	4.523073553262028e-23	-2.2755247223558137	6.16548054695233e-69	-2.2035493738923972	2.8658276183760028e-64	0.9893929257920124	7.051340575928668e-14	0.07197534846341648	0.6518064991601308	0.917417577328596	3.630778655361948e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00075	NC_010475.1	9729	10484	+	protein-coding	SYNPCC7002_RS00075	SYNPCC7002_RS00075	SYNPCC7002_A0014	DUF1995 family protein	1.4388447214456226	-0.8194514013738835	-0.8515489002080532	0.23215558013632404	yes	-0.4328147869221887	8.42916898338059e-8	-0.8045733525113008	1.2841094710258319e-24	-0.8187243312625797	4.922045020164725e-25	0.37175856558911213	3.365811400404839e-6	-0.01415097875127878	0.95938593675841	0.3859095443403909	2.486701574072871e-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00080	NC_010475.1	10504	11418	+	protein-coding	SYNPCC7002_RS00080	SYNPCC7002_RS00080	SYNPCC7002_A0015	TIGR04168 family protein	0.19642091549454369	-0.6533195830505809	-0.8881196759937272	1.345018343549763	yes	0.33992503583159356	0.00620524024916754	-0.2615376923629571	0.03436086889818397	-0.320037819950831	0.01202330552138561	0.6014627281945506	5.2505421855202015e-8	-0.05850012758787392	0.6600585562340311	0.6599628557824245	3.589315052037e-9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00085	NC_010475.1	11402	11782	-	protein-coding	SYNPCC7002_RS00085	SYNPCC7002_RS00085	SYNPCC7002_A0016	VOC family protein	1.5789714499408058	-0.6623807271919819	-0.6849406950330685	-0.23165002771575616	yes	-0.979185981395023	2.1096933535853085e-12	-1.217221557423653	2.2277680408662856e-18	-1.219486603833397	1.526131340748009e-17	0.23803557602862951	0.29656341302030464	-0.00226504640974421	1	0.24030062243837377	0.29656341302030464	09190 Not Included in Pathway or Brite > 09191 Unclassified: metabolism > 99985 Amino acid metabolism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
