old_locus_tag	level1	level2	level3	level4	level5	level6
SYNPCC7002_A2069	Protein phosphatases and associated proteins	Protein serine/threonine phosphatases	Phosphoprotein phosphatases (PPPs)	Protein phosphatase-1	PP1-interacting proteins (PIPs)	
SYNPCC7002_A1963	Protein phosphatases and associated proteins	Protein serine/threonine phosphatases	Phosphoprotein phosphatases (PPPs)	Protein phosphatase-1	PP1-interacting proteins (PIPs)	
SYNPCC7002_G0123	Protein phosphatases and associated proteins	Protein serine/threonine phosphatases	Phosphoprotein phosphatases (PPPs)	Protein phosphatase-1	PP1-interacting proteins (PIPs)	
SYNPCC7002_A1902	Protein phosphatases and associated proteins	Protein serine/threonine phosphatases	Phosphoprotein phosphatases (PPPs)	Protein phosphatase-5	PP5-interacting proteins	
SYNPCC7002_A0453	Protein phosphatases and associated proteins	Protein serine/threonine phosphatases	Mg2+- or Mn2+- dependent protein phosphatases (PPMs)	PPM1 phosphatases (PP2C)		
SYNPCC7002_A1045	Translation factors	Initiation factors				
SYNPCC7002_A0755	Translation factors	Initiation factors				
SYNPCC7002_A2702	Translation factors	Initiation factors				
SYNPCC7002_A1958	Translation factors	Elongation factors				
SYNPCC7002_A2061	Translation factors	Elongation factors				
SYNPCC7002_A2062	Translation factors	Elongation factors				
SYNPCC7002_A2079	Translation factors	Elongation factors				
SYNPCC7002_A0341	Translation factors	Elongation factors				
SYNPCC7002_A0053	Translation factors	Elongation factors				
SYNPCC7002_A1036	Translation factors	Release factors				
SYNPCC7002_A0188	Translation factors	Release factors				
SYNPCC7002_A1701	Translation factors	Release factors				
SYNPCC7002_A0952	Translation factors	Release factors				
SYNPCC7002_A1599	Translation factors	Release factors				
SYNPCC7002_A2249	Translation factors	Release factors				
SYNPCC7002_A1965	Chromosome and associated proteins	Nucleoid associated proteins	HU (heat unstable protein)			
SYNPCC7002_A1925	Chromosome and associated proteins	Nucleoid associated proteins	Other nucleoid associated proteins			
SYNPCC7002_A2161	Chromosome and associated proteins	Nucleoid associated proteins	Other nucleoid associated proteins			
SYNPCC7002_A0001	Chromosome and associated proteins	Nucleoid associated proteins	Other nucleoid associated proteins			
SYNPCC7002_A0031	Chromosome and associated proteins	Nucleoid associated proteins	Other nucleoid associated proteins			
SYNPCC7002_A0302	Chromosome and associated proteins	Nucleoid associated proteins	Other nucleoid associated proteins			
SYNPCC7002_A1643	Chromosome and associated proteins	Nucleoid associated proteins	Other nucleoid associated proteins			
SYNPCC7002_A1118	Chromosome and associated proteins	Chromosome partitioning proteins	Condensin-like complex			
SYNPCC7002_A1660	Chromosome and associated proteins	Chromosome partitioning proteins	Condensin-like complex			
SYNPCC7002_A2473	Chromosome and associated proteins	Chromosome partitioning proteins	Condensin-like complex			
SYNPCC7002_A2300	Chromosome and associated proteins	Chromosome partitioning proteins	Divisome proteins			
SYNPCC7002_A0023	Chromosome and associated proteins	Chromosome partitioning proteins	Divisome proteins			
SYNPCC7002_A1218	Chromosome and associated proteins	Chromosome partitioning proteins	Divisome proteins			
SYNPCC7002_A0024	Chromosome and associated proteins	Chromosome partitioning proteins	Divisome proteins			
SYNPCC7002_A0578	Chromosome and associated proteins	Chromosome partitioning proteins	Divisome proteins			
SYNPCC7002_A0584	Chromosome and associated proteins	Chromosome partitioning proteins	Divisome proteins			
SYNPCC7002_A0513	Chromosome and associated proteins	Chromosome partitioning proteins	Inhibitors of FtsZ assembly			
SYNPCC7002_A0514	Chromosome and associated proteins	Chromosome partitioning proteins	Inhibitors of FtsZ assembly			
SYNPCC7002_A0515	Chromosome and associated proteins	Chromosome partitioning proteins	Inhibitors of FtsZ assembly			
SYNPCC7002_A1918	Chromosome and associated proteins	Chromosome partitioning proteins	Inhibitors of FtsZ assembly			
SYNPCC7002_A1525	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_A1526	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_A2196	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_C0001	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_E0001	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_D0001	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_A1328	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_F0001	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_A2240	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_G0049	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_F0002	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_A1112	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_A0748	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_A2394	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_A2775	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_D0030	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_G0051	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_A0914	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_F0100	Chromosome and associated proteins	Chromosome partitioning proteins	Other chromosome partitioning proteins			
SYNPCC7002_A1397	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2786	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0253	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0241	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2293	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0612	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2226	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2112	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0100	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1889	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1338	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2740	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0137	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2089	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2238	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1156	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1396	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2787	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0223	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1106	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2719	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1662	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2084	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2076	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1779	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0949	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1208	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1266	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0784	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1597	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0484	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2114	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2137	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1102	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0625	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2524	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0440	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0182	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1032	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A0439	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1980	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A2667	Non-coding RNAs	Transfer RNA				
SYNPCC7002_A1395	Non-coding RNAs	Ribosomal RNA	Prokaryotic rRNA			
SYNPCC7002_A2788	Non-coding RNAs	Ribosomal RNA	Prokaryotic rRNA			
SYNPCC7002_A1398	Non-coding RNAs	Ribosomal RNA	Prokaryotic rRNA			
SYNPCC7002_A2785	Non-coding RNAs	Ribosomal RNA	Prokaryotic rRNA			
SYNPCC7002_A1399	Non-coding RNAs	Ribosomal RNA	Prokaryotic rRNA			
SYNPCC7002_A2784	Non-coding RNAs	Ribosomal RNA	Prokaryotic rRNA			
SYNPCC7002_A0032	Non-coding RNAs	Other RNA	Unclassified			
SYNPCC7002_A0431	Chaperones and folding catalysts	Heat shock proteins	HSP100			
SYNPCC7002_A2353	Chaperones and folding catalysts	Heat shock proteins	HSP100			
SYNPCC7002_A0141	Chaperones and folding catalysts	Heat shock proteins	HSP100			
SYNPCC7002_A1534	Chaperones and folding catalysts	Heat shock proteins	HSP100			
SYNPCC7002_A1902	Chaperones and folding catalysts	Heat shock proteins	HSP90			
SYNPCC7002_A0694	Chaperones and folding catalysts	Heat shock proteins	HSP70 / DNAK			
SYNPCC7002_A2160	Chaperones and folding catalysts	Heat shock proteins	HSP70 / DNAK			
SYNPCC7002_A2418	Chaperones and folding catalysts	Heat shock proteins	HSP70 / DNAK			
SYNPCC7002_A0147	Chaperones and folding catalysts	Heat shock proteins	HSP60 / Chaperonin			
SYNPCC7002_A2458	Chaperones and folding catalysts	Heat shock proteins	HSP60 / Chaperonin			
SYNPCC7002_A0693	Chaperones and folding catalysts	Heat shock proteins	HSP40 / DNAJ			
SYNPCC7002_A1738	Chaperones and folding catalysts	Heat shock proteins	HSP40 / DNAJ			
SYNPCC7002_A1925	Chaperones and folding catalysts	Heat shock proteins	HSP40 / DNAJ			
SYNPCC7002_A2161	Chaperones and folding catalysts	Heat shock proteins	HSP40 / DNAJ			
SYNPCC7002_A1123	Chaperones and folding catalysts	Heat shock proteins	HSP33			
SYNPCC7002_A0695	Chaperones and folding catalysts	Heat shock proteins	HSP24			
SYNPCC7002_A0654	Chaperones and folding catalysts	Heat shock proteins	HSP20			
SYNPCC7002_A2457	Chaperones and folding catalysts	Heat shock proteins	HSP10			
SYNPCC7002_A0902	Chaperones and folding catalysts	Other chaperones and cochaperones	AAA proteases			
SYNPCC7002_A0040	Chaperones and folding catalysts	Other chaperones and cochaperones	AAA proteases			
SYNPCC7002_A0349	Chaperones and folding catalysts	Other chaperones and cochaperones	AAA proteases			
SYNPCC7002_A1176	Chaperones and folding catalysts	Other chaperones and cochaperones	AAA proteases			
SYNPCC7002_A0739	Chaperones and folding catalysts	Other chaperones and cochaperones	PapD			
SYNPCC7002_G0148	Chaperones and folding catalysts	Other chaperones and cochaperones	PapD			
SYNPCC7002_A2109	Chaperones and folding catalysts	Other chaperones and cochaperones	Others			
SYNPCC7002_A1746	Chaperones and folding catalysts	Other chaperones and cochaperones	Others			
SYNPCC7002_A0202	Chaperones and folding catalysts	Other chaperones and cochaperones	Others			
SYNPCC7002_A1747	Chaperones and folding catalysts	Other chaperones and cochaperones	Others			
SYNPCC7002_A0203	Chaperones and folding catalysts	Other chaperones and cochaperones	Others			
SYNPCC7002_A1379	Chaperones and folding catalysts	Intramolecular chaperones	Subtilisin family			
SYNPCC7002_A1092	Chaperones and folding catalysts	Protein folding catalysts	Peptidyl prolyl isomerase	Cyclophilin		
SYNPCC7002_A1196	Chaperones and folding catalysts	Protein folding catalysts	Protein disulfide isomerase			
SYNPCC7002_A1614	Chaperones and folding catalysts	Protein folding catalysts	Protein disulfide isomerase			
SYNPCC7002_A0293	Chaperones and folding catalysts	Protein folding catalysts	Protein disulfide isomerase			
SYNPCC7002_A2068	Chaperones and folding catalysts	Protein folding catalysts	Protein disulfide isomerase			
SYNPCC7002_A0282	Chaperones and folding catalysts	Protein folding catalysts	Protein disulfide isomerase			
SYNPCC7002_A0545	Chaperones and folding catalysts	Protein folding catalysts	Protein disulfide isomerase			
SYNPCC7002_A0814	Membrane trafficking	Exocytosis	Calcium ion-dependent exocytosis	Kinases and associated proteins		
SYNPCC7002_A2186	Membrane trafficking	Endoplasmic reticulum (ER) - Golgi transport	Retrieval pathways	Golgi to ER traffic proteins (GET)		
SYNPCC7002_A1252	Membrane trafficking	Autophagy	Cytoplasm to vacuolar targeting (CVT) pathway	Selective cargos		
SYNPCC7002_A2697	Membrane trafficking	Autophagy	Chaperone mediated autophagy (CMA)	Selective cargos		
SYNPCC7002_A1658	Membrane trafficking	Autophagy	Chaperone mediated autophagy (CMA)	Selective cargos		
SYNPCC7002_A1902	Membrane trafficking	Autophagy	Chaperone mediated autophagy (CMA)	Chaperones		
SYNPCC7002_A1418	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A0157	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A2164	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A1560	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A2199	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A1559	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A1759	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A0230	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A0231	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A0232	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A0233	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A0808	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A2779	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A2151	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A0957	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A0135	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A1347	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A2533	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A1258	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A0269	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A1303	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A0112	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other subunits in cyanobacteria		
SYNPCC7002_A0322	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other subunits in cyanobacteria		
SYNPCC7002_A1312	Photosynthesis proteins	Photosystem and electron transport system	Photosystem II (P680 chlorophyll a) [OT]	Other subunits in cyanobacteria		
SYNPCC7002_A1961	Photosynthesis proteins	Photosystem and electron transport system	Photosystem I (P700 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A1962	Photosynthesis proteins	Photosystem and electron transport system	Photosystem I (P700 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A1589	Photosynthesis proteins	Photosystem and electron transport system	Photosystem I (P700 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A0682	Photosynthesis proteins	Photosystem and electron transport system	Photosystem I (P700 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A1393	Photosynthesis proteins	Photosystem and electron transport system	Photosystem I (P700 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A1008	Photosynthesis proteins	Photosystem and electron transport system	Photosystem I (P700 chlorophyll a) [OT]	Main subunits		
SYNPCC7002_A2621	Photosynthesis proteins	Photosystem and electron transport system	Photosystem I (P700 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A1009	Photosynthesis proteins	Photosystem and electron transport system	Photosystem I (P700 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A2401	Photosynthesis proteins	Photosystem and electron transport system	Photosystem I (P700 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A2620	Photosynthesis proteins	Photosystem and electron transport system	Photosystem I (P700 chlorophyll a) [OT]	Other common subunits		
SYNPCC7002_A1834	Photosynthesis proteins	Photosystem and electron transport system	Photosystem I (P700 chlorophyll a) [OT]	Other subunits in cyanobacteria		
SYNPCC7002_A1910	Photosynthesis proteins	Photosystem and electron transport system	Cytochrome b6/f complex [OT]			
SYNPCC7002_A0842	Photosynthesis proteins	Photosystem and electron transport system	Cytochrome b6/f complex [OT]			
SYNPCC7002_G0076	Photosynthesis proteins	Photosystem and electron transport system	Cytochrome b6/f complex [OT]			
SYNPCC7002_A1909	Photosynthesis proteins	Photosystem and electron transport system	Cytochrome b6/f complex [OT]			
SYNPCC7002_A1097	Photosynthesis proteins	Photosystem and electron transport system	Cytochrome b6/f complex [OT]			
SYNPCC7002_A0841	Photosynthesis proteins	Photosystem and electron transport system	Cytochrome b6/f complex [OT]			
SYNPCC7002_A0374	Photosynthesis proteins	Photosystem and electron transport system	Cytochrome b6/f complex [OT]			
SYNPCC7002_A1311	Photosynthesis proteins	Photosystem and electron transport system	Cytochrome b6/f complex [OT]			
SYNPCC7002_A0624	Photosynthesis proteins	Photosystem and electron transport system	Photosynthetic electron transport			
SYNPCC7002_A2192	Photosynthesis proteins	Photosystem and electron transport system	Photosynthetic electron transport			
SYNPCC7002_A2325	Photosynthesis proteins	Photosystem and electron transport system	Photosynthetic electron transport			
SYNPCC7002_A2326	Photosynthesis proteins	Photosystem and electron transport system	Photosynthetic electron transport			
SYNPCC7002_A0853	Photosynthesis proteins	Photosystem and electron transport system	Photosynthetic electron transport			
SYNPCC7002_A2391	Photosynthesis proteins	Photosystem and electron transport system	Photosynthetic electron transport			
SYNPCC7002_A0167	Photosynthesis proteins	Photosystem and electron transport system	Photosynthetic electron transport			
SYNPCC7002_A0750	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_G0145	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_A0749	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_G0144	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_A0733	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_G0152	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_A0734	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_G0151	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_A0735	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_A0736	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_A0737	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_G0150	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_A0738	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_G0149	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_A0739	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_G0148	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_A0740	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_G0146	Photosynthesis proteins	Photosystem and electron transport system	F-type ATPase [OT]			
SYNPCC7002_A1930	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Allophycocyanin (AP)		
SYNPCC7002_A1929	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Allophycocyanin (AP)		
SYNPCC7002_A1928	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Allophycocyanin (AP)		
SYNPCC7002_A2140	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Allophycocyanin (AP)		
SYNPCC7002_A2009	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Allophycocyanin (AP)		
SYNPCC7002_A1631	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Allophycocyanin (AP)		
SYNPCC7002_A2210	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Phycocyanin (PC)		
SYNPCC7002_A2209	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Phycocyanin (PC)		
SYNPCC7002_A2211	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Phycocyanin (PC)		
SYNPCC7002_A2212	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Phycocyanin (PC)		
SYNPCC7002_A2213	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Phycocyanin (PC)		
SYNPCC7002_A2214	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Phycocyanin (PC)		
SYNPCC7002_A0639	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Phycocyanin (PC)		
SYNPCC7002_A0811	Photosynthesis proteins	Antenna proteins	Phycobilisome - Cyanobacteria, Red alga [OT]	Phycocyanin (PC)		
SYNPCC7002_A1394	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class I (A)			
SYNPCC7002_A1609	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class I (A)			
SYNPCC7002_A0037	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class I (G)			
SYNPCC7002_A2873	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class I (G)			
SYNPCC7002_A0599	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class I (G)			
SYNPCC7002_A2706	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class I (U)			
SYNPCC7002_A1756	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class I (U)			
SYNPCC7002_A1216	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class I (U)			
SYNPCC7002_A1694	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class I (U)			
SYNPCC7002_A0035	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (A)			
SYNPCC7002_A0422	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (A)			
SYNPCC7002_A2468	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (A)			
SYNPCC7002_A2275	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (A)			
SYNPCC7002_A0387	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (C/G)			
SYNPCC7002_A2456	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (C/G)			
SYNPCC7002_A2328	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (C/G)			
SYNPCC7002_A1656	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (C/G)			
SYNPCC7002_A0628	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (C/G)			
SYNPCC7002_A1672	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (C/G)			
SYNPCC7002_A0493	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (U)			
SYNPCC7002_A0447	Amino acid related enzymes	Aminoacyl-tRNA synthetase	Class II (U)			
SYNPCC7002_A0512	Amino acid related enzymes	Aminotransferase (transaminase)	Class I			
SYNPCC7002_A0235	Amino acid related enzymes	Aminotransferase (transaminase)	Class I			
SYNPCC7002_A1203	Amino acid related enzymes	Aminotransferase (transaminase)	Class I			
