Transcription-Units	Genes of transcription unit
TU220F-1333	SYNPCC7002_RS09530 // SYNPCC7002_RS09525
TU220F-917	SYNPCC7002_RS06300
TU220F-2390	SYNPCC7002_RS05770
TU220F-606	SYNPCC7002_RS03945
TU220F-2105	SYNPCC7002_RS14620 // SYNPCC7002_RS14615 // SYNPCC7002_RS14610
TU220F-1220	SYNPCC7002_RS08595
TU220F-60	SYNPCC7002_RS16835
TU220F-664	SYNPCC7002_RS04355
TU220F-2079	SYNPCC7002_RS16885
TU220F-398	SYNPCC7002_RS02415 // SYNPCC7002_RS16255
TU220F-726	SYNPCC7002_RS04830
TU220F-474	SYNPCC7002_RS02920
TU220F-1078	SYNPCC7002_RS07510
TU220F-1294	SYNPCC7002_RS09210
TU220F-473	SYNPCC7002_RS02915
TU220F-1427	SYNPCC7002_RS10210
TU220F-576	SYNPCC7002_RS03705
TU220F-1516	SYNPCC7002_RS10885
TU220F-228	SYNPCC7002_RS01080
TU220F-1727	SYNPCC7002_RS12510
TU220F-388	SYNPCC7002_RS02335
TU220F-2511	SYNPCC7002_RS01540
TU220F-2185	SYNPCC7002_RS12475
TU220F-87	SYNPCC7002_RS00025
TU220F-1021	SYNPCC7002_RS07045
TU220F-1231	SYNPCC7002_RS08705
TU220F-458	SYNPCC7002_RS02835
TU220F-94	SYNPCC7002_RS00090
TU220F-2307	SYNPCC7002_RS08165
TU220F-1942	SYNPCC7002_RS13980
TU220F-2058	SYNPCC7002_RS15855
TU220F-2014	SYNPCC7002_RS15540
TU220F-27	SYNPCC7002_RS14900
TU220F-1165	SYNPCC7002_RS08225
TU220F-1756	SYNPCC7002_RS12700
TU220F-2400	SYNPCC7002_RS05510
TU220F-988	SYNPCC7002_RS06795
TU220F-1758	SYNPCC7002_RS12720
TU220F-434	SYNPCC7002_RS02690
TU220F-245	SYNPCC7002_RS16545
TU220F-1076	SYNPCC7002_RS07500
TU220F-2250	SYNPCC7002_RS10490
TU220F-1163	SYNPCC7002_RS08210
TU220F-756	SYNPCC7002_RS05060
TU220F-1492	SYNPCC7002_RS10715
TU220F-365	SYNPCC7002_RS02125
TU220F-1696	SYNPCC7002_RS12250
TU220F-323	SYNPCC7002_RS01790 // SYNPCC7002_RS01785
TU220F-1225	SYNPCC7002_RS08665 // SYNPCC7002_RS08660 // SYNPCC7002_RS08655
TU220F-2431	SYNPCC7002_RS04500
TU220F-57	SYNPCC7002_RS15165 // SYNPCC7002_RS15160
TU220F-2297	SYNPCC7002_RS08490
TU220F-1477	SYNPCC7002_RS10595
TU220F-1055	SYNPCC7002_RS07355
TU220F-2135	SYNPCC7002_RS14025
TU220F-1070	SYNPCC7002_RS07455
TU220F-2443	SYNPCC7002_RS16075
TU220F-1503	SYNPCC7002_RS10795
TU220F-1370	SYNPCC7002_RS09790
TU220F-1308	SYNPCC7002_RS09335
TU220F-1892	SYNPCC7002_RS13640 // SYNPCC7002_RS13635
TU220F-441	SYNPCC7002_RS02725
TU220F-1572	SYNPCC7002_RS11310
TU220F-2031	SYNPCC7002_RS15655 // SYNPCC7002_RS15650 // SYNPCC7002_RS15645
TU220F-149	SYNPCC7002_RS00485
TU220F-14	SYNPCC7002_RS14780
TU220F-189	SYNPCC7002_RS00770 // SYNPCC7002_RS00765
TU220F-465	SYNPCC7002_RS02875
TU220F-2064	SYNPCC7002_RS15885
TU220F-1081	SYNPCC7002_RS07525
TU220F-1654	SYNPCC7002_RS11975
TU220F-556	SYNPCC7002_RS03535
TU220F-119	SYNPCC7002_RS00255
TU220F-2485	SYNPCC7002_RS02235
TU220F-2208	SYNPCC7002_RS11730
TU220F-1177	SYNPCC7002_RS08295
TU220F-2525	SYNPCC7002_RS00900
TU220F-1961	SYNPCC7002_RS14090
TU220F-1957	SYNPCC7002_RS16240
TU220F-496	SYNPCC7002_RS03075 // SYNPCC7002_RS03070
TU220F-1278	SYNPCC7002_RS09095
TU220F-2044	SYNPCC7002_RS15735
TU220F-2350	SYNPCC7002_RS06900
TU220F-1452	SYNPCC7002_RS10395
TU220F-137	SYNPCC7002_RS00380 // SYNPCC7002_RS00375
TU220F-692	SYNPCC7002_RS16080
TU220F-1842	SYNPCC7002_RS13275
TU220F-1133	SYNPCC7002_RS07980
TU220F-155	SYNPCC7002_RS00525 // SYNPCC7002_RS00520
TU220F-151	SYNPCC7002_RS00500 // SYNPCC7002_RS00495
TU220F-2448	SYNPCC7002_RS03895
TU220F-1554	SYNPCC7002_RS11160
TU220F-2127	SYNPCC7002_RS15580
TU220F-2006	SYNPCC7002_RS15480 // SYNPCC7002_RS15475 // SYNPCC7002_RS15470
TU220F-1909	SYNPCC7002_RS13765
TU220F-818	SYNPCC7002_RS05535
TU220F-1548	SYNPCC7002_RS11110
TU220F-2176	SYNPCC7002_RS12740
TU220F-815	SYNPCC7002_RS05520
TU220F-1991	SYNPCC7002_RS15310
TU220F-304	SYNPCC7002_RS01615
TU220F-419	SYNPCC7002_RS02595
TU220F-1124	SYNPCC7002_RS07915
TU220F-562	SYNPCC7002_RS03590 // SYNPCC7002_RS03585
TU220F-1043	SYNPCC7002_RS07230
TU220F-2325	SYNPCC7002_RS07665
TU220F-1263	SYNPCC7002_RS08975 // SYNPCC7002_RS08970
TU220F-528	SYNPCC7002_RS03310
TU220F-634	SYNPCC7002_RS04125
TU220F-1237	SYNPCC7002_RS08740 // SYNPCC7002_RS08735
TU220F-410	SYNPCC7002_RS02500
TU220F-2465	SYNPCC7002_RS02865
TU220F-235	SYNPCC7002_RS01120 // SYNPCC7002_RS16350
TU220F-2330	SYNPCC7002_RS07435
TU220F-2517	SYNPCC7002_RS01335
TU220F-1005	SYNPCC7002_RS06925
TU220F-1905	SYNPCC7002_RS13735
TU220F-442	SYNPCC7002_RS02730
TU220F-1094	SYNPCC7002_RS07640
TU220F-466	SYNPCC7002_RS02880
TU220F-2190	SYNPCC7002_RS12435
TU220F-2172	SYNPCC7002_RS12815
TU220F-1279	SYNPCC7002_RS09105 // SYNPCC7002_RS09100
TU220F-2052	SYNPCC7002_RS15820
TU220F-448	SYNPCC7002_RS02775
TU220F-336	SYNPCC7002_RS01890
TU220F-2198	SYNPCC7002_RS12215
TU220F-2261	SYNPCC7002_RS10010
TU220F-2277	SYNPCC7002_RS09300
TU220F-1353	SYNPCC7002_RS09660
TU220F-2071	SYNPCC7002_RS15965 // SYNPCC7002_RS15960 // SYNPCC7002_RS15955 // SYNPCC7002_RS15950 // SYNPCC7002_RS15945 // SYNPCC7002_RS15940
TU220F-2529	SYNPCC7002_RS00835
TU220F-2148	SYNPCC7002_RS13685
TU220F-1340	SYNPCC7002_RS09585 // SYNPCC7002_RS09580 // SYNPCC7002_RS09575
TU220F-317	SYNPCC7002_RS01735
TU220F-1925	SYNPCC7002_RS13875
TU220F-601	SYNPCC7002_RS03880
TU220F-1631	SYNPCC7002_RS11820
TU220F-2406	SYNPCC7002_RS05090
TU220F-459	SYNPCC7002_RS02840
TU220F-1322	SYNPCC7002_RS09460
TU220F-1184	SYNPCC7002_RS08340
TU220F-341	SYNPCC7002_RS01930 // SYNPCC7002_RS01925
TU220F-2535	SYNPCC7002_RS00640
TU220F-868	SYNPCC7002_RS16665 // SYNPCC7002_RS05910 // SYNPCC7002_RS16440
TU220F-542	SYNPCC7002_RS03440 // SYNPCC7002_RS03435
TU220F-641	SYNPCC7002_RS04200
TU220F-109	SYNPCC7002_RS00185
TU220F-650	SYNPCC7002_RS04255
TU220F-2088	SYNPCC7002_RS14515 // SYNPCC7002_RS16790
TU220F-2311	SYNPCC7002_RS08090
TU220F-663	SYNPCC7002_RS04345
TU220F-972	SYNPCC7002_RS06695
TU220F-1720	SYNPCC7002_RS12440
TU220F-279	SYNPCC7002_RS01435
TU220F-1574	SYNPCC7002_RS11325
TU220F-1591	SYNPCC7002_RS11475 // SYNPCC7002_RS11470 // SYNPCC7002_RS11465 // SYNPCC7002_RS11460
TU220F-495	SYNPCC7002_RS03065
TU220F-648	SYNPCC7002_RS04245
TU220F-963	SYNPCC7002_RS06615 // SYNPCC7002_RS06610
TU220F-291	SYNPCC7002_RS01520 // SYNPCC7002_RS01515 // SYNPCC7002_RS01510
TU220F-435	SYNPCC7002_RS02695
TU220F-2138	SYNPCC7002_RS13920
TU220F-2473	SYNPCC7002_RS02515
TU220F-315	SYNPCC7002_RS16610
TU220F-725	SYNPCC7002_RS04825
TU220F-691	SYNPCC7002_RS04545
TU220F-960	SYNPCC7002_RS06595
TU220F-1737	SYNPCC7002_RS12560
TU220F-985	SYNPCC7002_RS06780
TU220F-2375	SYNPCC7002_RS06170
TU220F-2356	SYNPCC7002_RS06690
TU220F-178	SYNPCC7002_RS00700
TU220F-1519	SYNPCC7002_RS10910
TU220F-838	SYNPCC7002_RS05665
TU220F-940	SYNPCC7002_RS06480
TU220F-1640	SYNPCC7002_RS11880
TU220F-1833	SYNPCC7002_RS13210
TU220F-1399	SYNPCC7002_RS09990
TU220F-1972	SYNPCC7002_RS14165
TU220F-1709	SYNPCC7002_RS12335
TU220F-310	SYNPCC7002_RS01670
TU220F-1810	SYNPCC7002_RS16750
TU220F-1879	SYNPCC7002_RS13540
TU220F-1900	SYNPCC7002_RS13705 // SYNPCC7002_RS13700
TU220F-1510	SYNPCC7002_RS10845
TU220F-1687	SYNPCC7002_RS12195
TU220F-2414	SYNPCC7002_RS04900
TU220F-876	SYNPCC7002_RS05975 // SYNPCC7002_RS05970
TU220F-505	SYNPCC7002_RS03135
TU220F-1185	SYNPCC7002_RS08345
TU220F-1418	SYNPCC7002_RS10150 // SYNPCC7002_RS10145
TU220F-1460	SYNPCC7002_RS10450
TU220F-1896	SYNPCC7002_RS13670
TU220F-2430	SYNPCC7002_RS04525
TU220F-1054	SYNPCC7002_RS07350
TU220F-2039	SYNPCC7002_RS16320
TU220F-1476	SYNPCC7002_RS10580
TU220F-1085	SYNPCC7002_RS07545
TU220F-1491	SYNPCC7002_RS10685
TU220F-2015	SYNPCC7002_RS16275
TU220F-1981	SYNPCC7002_RS15245
TU220F-1886	SYNPCC7002_RS13595
TU220F-701	SYNPCC7002_RS04625 // SYNPCC7002_RS04620 // SYNPCC7002_RS04615 // SYNPCC7002_RS04610
TU220F-66	SYNPCC7002_RS14315 // SYNPCC7002_RS14310
TU220F-302	SYNPCC7002_RS01600
TU220F-1615	SYNPCC7002_RS11655
TU220F-167	SYNPCC7002_RS00610
TU220F-1307	SYNPCC7002_RS09330
TU220F-1868	SYNPCC7002_RS13465
TU220F-764	SYNPCC7002_RS05140 // SYNPCC7002_RS05135 // SYNPCC7002_RS05130 // SYNPCC7002_RS05125
TU220F-2234	SYNPCC7002_RS10890
TU220F-1352	SYNPCC7002_RS09655 // SYNPCC7002_RS09650
TU220F-2551	SYNPCC7002_RS14380
TU220F-2288	SYNPCC7002_RS09060
TU220F-2240	SYNPCC7002_RS10695
TU220F-2131	SYNPCC7002_RS15350
TU220F-191	SYNPCC7002_RS00780
TU220F-741	SYNPCC7002_RS04955
TU220F-1580	SYNPCC7002_RS11370
TU220F-2503	SYNPCC7002_RS01685
TU220F-2063	SYNPCC7002_RS15880
TU220F-622	SYNPCC7002_RS04055
TU220F-2484	SYNPCC7002_RS02240
TU220F-570	SYNPCC7002_RS03650
TU220F-555	SYNPCC7002_RS03530
TU220F-2029	SYNPCC7002_RS15630
TU220F-1653	SYNPCC7002_RS11970
TU220F-1741	SYNPCC7002_RS12600
TU220F-1939	SYNPCC7002_RS13960
TU220F-2454	SYNPCC7002_RS03515
TU220F-1116	SYNPCC7002_RS07870
TU220F-2364	SYNPCC7002_RS06390
TU220F-194	SYNPCC7002_RS00795
TU220F-518	SYNPCC7002_RS03235
TU220F-285	SYNPCC7002_RS01475
TU220F-1173	SYNPCC7002_RS08275
TU220F-1841	SYNPCC7002_RS13270
TU220F-584	SYNPCC7002_RS03765
TU220F-1440	SYNPCC7002_RS10300
TU220F-1729	SYNPCC7002_RS12520
TU220F-494	SYNPCC7002_RS03060
TU220F-1766	SYNPCC7002_RS12785
TU220F-990	SYNPCC7002_RS06805
TU220F-616	SYNPCC7002_RS04020
TU220F-710	SYNPCC7002_RS04705
TU220F-1636	SYNPCC7002_RS11855 // SYNPCC7002_RS11850
TU220F-1451	SYNPCC7002_RS10390
TU220F-181	SYNPCC7002_RS00725
TU220F-690	SYNPCC7002_RS04540
TU220F-602	SYNPCC7002_RS03890 // SYNPCC7002_RS03885
TU220F-1852	SYNPCC7002_RS13370
TU220F-29	SYNPCC7002_RS14925 // SYNPCC7002_RS14920 // SYNPCC7002_RS14915
TU220F-1671	SYNPCC7002_RS16555
TU220F-886	SYNPCC7002_RS06065
TU220F-638	SYNPCC7002_RS04180 // SYNPCC7002_RS04175
TU220F-883	SYNPCC7002_RS06050
TU220F-792	SYNPCC7002_RS05365
TU220F-1532	SYNPCC7002_RS11000
TU220F-265	SYNPCC7002_RS01315
TU220F-930	SYNPCC7002_RS06420
TU220F-2041	SYNPCC7002_RS15720
TU220F-594	SYNPCC7002_RS03840 // SYNPCC7002_RS03835 // SYNPCC7002_RS03830
TU220F-512	SYNPCC7002_RS03200 // SYNPCC7002_RS03195
TU220F-134	SYNPCC7002_RS00365
TU220F-522	SYNPCC7002_RS03260
TU220F-1405	SYNPCC7002_RS10060 // SYNPCC7002_RS10055
TU220F-1299	SYNPCC7002_RS09245 // SYNPCC7002_RS09240
TU220F-805	SYNPCC7002_RS05460
TU220F-2151	SYNPCC7002_RS13570
TU220F-333	SYNPCC7002_RS01875
TU220F-1264	SYNPCC7002_RS08980
TU220F-600	SYNPCC7002_RS16390
TU220F-253	SYNPCC7002_RS01225
TU220F-1409	SYNPCC7002_RS10095 // SYNPCC7002_RS10090
TU220F-2009	SYNPCC7002_RS15495 // SYNPCC7002_RS16855
TU220F-394	SYNPCC7002_RS02380
TU220F-755	SYNPCC7002_RS05055 // SYNPCC7002_RS05050
TU220F-2459	SYNPCC7002_RS03350
TU220F-1189	SYNPCC7002_RS08370
TU220F-870	SYNPCC7002_RS05925 // SYNPCC7002_RS05920
TU220F-878	SYNPCC7002_RS05995
TU220F-1332	SYNPCC7002_RS09520
TU220F-780	SYNPCC7002_RS05275 // SYNPCC7002_RS05270 // SYNPCC7002_RS05265
TU220F-1924	SYNPCC7002_RS13870
TU220F-467	SYNPCC7002_RS02885
TU220F-2276	SYNPCC7002_RS09305
TU220F-1020	SYNPCC7002_RS07035
TU220F-1724	SYNPCC7002_RS12480
TU220F-858	SYNPCC7002_RS05835 // SYNPCC7002_RS05830
TU220F-1110	SYNPCC7002_RS07840 // SYNPCC7002_RS16450
TU220F-1351	SYNPCC7002_RS09645
TU220F-2422	SYNPCC7002_RS04795
TU220F-508	SYNPCC7002_RS03155 // SYNPCC7002_RS03150
TU220F-1426	SYNPCC7002_RS10205 // SYNPCC7002_RS10200 // SYNPCC7002_RS10195
TU220F-1913	SYNPCC7002_RS13790
TU220F-852	SYNPCC7002_RS05755
TU220F-9	SYNPCC7002_RS14750
TU220F-1468	SYNPCC7002_RS10525 // SYNPCC7002_RS10520
TU220F-1797	SYNPCC7002_RS12970
TU220F-1412	SYNPCC7002_RS10115
TU220F-75	SYNPCC7002_RS14420
TU220F-1938	SYNPCC7002_RS13955
TU220F-1321	SYNPCC7002_RS09455
TU220F-198	SYNPCC7002_RS00850
TU220F-1128	SYNPCC7002_RS07945 // SYNPCC7002_RS07940
TU220F-1618	SYNPCC7002_RS11685 // SYNPCC7002_RS11680
TU220F-662	SYNPCC7002_RS04340 // SYNPCC7002_RS04335
TU220F-2110	SYNPCC7002_RS16260
TU220F-1072	SYNPCC7002_RS07465
TU220F-532	SYNPCC7002_RS03360
TU220F-1009	SYNPCC7002_RS06965
TU220F-2116	SYNPCC7002_RS14275
TU220F-2212	SYNPCC7002_RS11645
TU220F-2389	SYNPCC7002_RS05775
TU220F-643	SYNPCC7002_RS04215
TU220F-1030	SYNPCC7002_RS07120
TU220F-446	SYNPCC7002_RS02765
TU220F-1206	SYNPCC7002_RS08475
TU220F-379	SYNPCC7002_RS02270 // SYNPCC7002_RS02265 // SYNPCC7002_RS02260
TU220F-652	SYNPCC7002_RS04265
TU220F-984	SYNPCC7002_RS06770
TU220F-1222	SYNPCC7002_RS08615 // SYNPCC7002_RS08610 // SYNPCC7002_RS08605
TU220F-493	SYNPCC7002_RS03055 // SYNPCC7002_RS03050
TU220F-1722	SYNPCC7002_RS12450
TU220F-956	SYNPCC7002_RS06560
TU220F-724	SYNPCC7002_RS04805 // SYNPCC7002_RS04800
TU220F-890	SYNPCC7002_RS06100 // SYNPCC7002_RS06095
TU220F-171	SYNPCC7002_RS00655 // SYNPCC7002_RS00650 // SYNPCC7002_RS00645
TU220F-689	SYNPCC7002_RS04535
TU220F-35	SYNPCC7002_RS16825
TU220F-1680	SYNPCC7002_RS12145
TU220F-1562	SYNPCC7002_RS11240 // SYNPCC7002_RS11235 // SYNPCC7002_RS11230
TU220F-967	SYNPCC7002_RS06650
TU220F-370	SYNPCC7002_RS02170
TU220F-1398	SYNPCC7002_RS09985
TU220F-1204	SYNPCC7002_RS08465
TU220F-377	SYNPCC7002_RS02250
TU220F-1253	SYNPCC7002_RS08895 // SYNPCC7002_RS08890 // SYNPCC7002_RS08885 // SYNPCC7002_RS08880
TU220F-20	SYNPCC7002_RS14845 // SYNPCC7002_RS14840 // SYNPCC7002_RS14835
TU220F-1695	SYNPCC7002_RS12245
TU220F-1603	SYNPCC7002_RS11560
TU220F-93	SYNPCC7002_RS00085
TU220F-1089	SYNPCC7002_RS16130 // SYNPCC7002_RS07575
TU220F-1812	SYNPCC7002_RS13080
TU220F-1027	SYNPCC7002_RS07105
TU220F-311	SYNPCC7002_RS01695 // SYNPCC7002_RS01690
TU220F-2155	SYNPCC7002_RS16765
TU220F-842	SYNPCC7002_RS16660
TU220F-1993	SYNPCC7002_RS15340
TU220F-2301	SYNPCC7002_RS08220
TU220F-2296	SYNPCC7002_RS08565
TU220F-2338	SYNPCC7002_RS07125
TU220F-1502	SYNPCC7002_RS10790
TU220F-2542	SYNPCC7002_RS00475
TU220F-1747	SYNPCC7002_RS12645 // SYNPCC7002_RS12640
TU220F-1053	SYNPCC7002_RS07345
TU220F-768	SYNPCC7002_RS05165
TU220F-1250	SYNPCC7002_RS08850 // SYNPCC7002_RS08845
TU220F-470	SYNPCC7002_RS02900
TU220F-1490	SYNPCC7002_RS10680
TU220F-358	SYNPCC7002_RS02075
TU220F-1041	SYNPCC7002_RS07220
TU220F-99	SYNPCC7002_RS00130 // SYNPCC7002_RS00125
TU220F-1069	SYNPCC7002_RS16120
TU220F-1350	SYNPCC7002_RS09640
TU220F-910	SYNPCC7002_RS06245
TU220F-201	SYNPCC7002_RS00865
